mjd,band,flux,fluxerr,detected_bool,ratio,ratio2bool
0.0,u,-0.19996579,0.14184059999999998,0,1.4097923302636906,1
0.0,g,0.047794513,0.14200899,0,0.3365597699131583,1
0.0,r,0.23993596,0.1426839,0,1.68159098538798,1
0.0,i,0.2903082,0.14286031,0,2.0321123480692433,1
0.0,z,0.24645275,0.14270674,0,1.7269874569344097,1
0.0,Y,-0.15684018,0.14184059999999998,0,1.105749552666867,1
2.0,u,0.12795497,0.14229095,0,0.8992488278418269,1
2.0,g,0.07712755,0.14211223,0,0.5427228184372309,1
2.0,r,0.24653293,0.14270702,0,1.72754591890434,1
2.0,i,0.04136512,0.14198636,0,0.29133164622291885,1
2.0,z,0.050980855,0.14202021,0,0.3589690157478291,1
2.0,Y,-0.013508057,0.14184059999999998,0,0.09523406556373847,1
4.0,u,-0.035970863,0.14184059999999998,0,0.2536006122365529,1
4.0,g,0.09511401,0.14217551,0,0.6689901094780669,1
4.0,r,0.12161013,0.14226864,0,0.854792243743948,1
4.0,i,-0.122624226,0.14184059999999998,0,0.8645213429723225,1
4.0,z,-0.16976301,0.14184059999999998,0,1.1968576698068114,1
4.0,Y,-0.08901178,0.14184059999999998,0,0.6275479658151475,1
6.0,u,0.070834525,0.14209008,0,0.49851843985167715,1
6.0,g,-0.07507849999999999,0.14184059999999998,0,0.5293160068414826,1
6.0,r,0.010688723,0.14187828,0,0.07533727502194135,1
6.0,i,-0.16611919,0.14184059999999998,0,1.1711681281664066,1
6.0,z,0.098696016,0.1421881,0,0.6941228977671127,1
6.0,Y,0.013944618999999998,0.14188975,0,0.09827784600367537,1
8.0,u,-0.062039264000000004,0.14184059999999998,0,0.4373872078939317,1
8.0,g,-0.05424195,0.14184059999999998,0,0.38241483750068744,1
8.0,r,-0.07148825,0.14184059999999998,0,0.5040041426784716,1
8.0,i,-0.046795838,0.14184059999999998,0,0.32991850006274653,1
8.0,z,-0.038305916,0.14184059999999998,0,0.2700631272005336,1
8.0,Y,-0.049135555,0.14184059999999998,0,0.3464138970083319,1
10.0,u,0.061636843,0.14205772,0,0.43388590919240433,1
10.0,g,-0.16246869,0.14184059999999998,0,1.1454314914065509,1
10.0,r,0.0041669393,0.1418553,0,0.029374576064482613,1
10.0,i,-0.03254917,0.14184059999999998,0,0.2294771031707424,1
10.0,z,0.06892054,0.14208336,0,0.48507115822711405,1
10.0,Y,0.057512785999999996,0.1420432,0,0.40489643995629493,1
12.0,u,-0.09419661,0.14184059999999998,0,0.6641018862018351,1
12.0,g,0.0019329706,0.14184743,0,0.013627110480605817,1
12.0,r,0.0032267040000000004,0.14185199,0,0.022746977324745322,1
12.0,i,-0.008971746999999999,0.14184059999999998,0,0.06325231985764301,1
12.0,z,0.14362594,0.14234601,0,1.0089916816073736,1
12.0,Y,-0.04450484,0.14184059999999998,0,0.31376658023161214,1
14.0,u,-0.020064106,0.14184059999999998,0,0.14145530969271142,1
14.0,g,-0.013699244,0.14184059999999998,0,0.09658196595333071,1
14.0,r,0.26374662,0.14276733,0,1.8473877742197742,1
14.0,i,0.2580563,0.14274739,0,1.8077829654188424,1
14.0,z,-0.041605,0.14184059999999998,0,0.2933222222692234,1
14.0,Y,-0.18421856,0.14184059999999998,0,1.2987717198037798,1
16.0,u,0.24839740000000002,0.14271355,0,1.7405312950312009,1
16.0,g,0.036610078,0.1419696,0,0.2578726572449313,1
16.0,r,-0.021716196,0.14184059999999998,0,0.15310282105405648,1
16.0,i,-0.09619197,0.14184059999999998,0,0.6781695085892192,1
16.0,z,-0.29760417,0.14184059999999998,0,2.0981592717458897,1
16.0,Y,0.0711885,0.14209133,0,0.5010052337464925,1
18.0,u,-0.1891775,0.14184059999999998,0,1.3337330778352603,1
18.0,g,-0.116511144,0.14184059999999998,0,0.8214230904268596,1
18.0,r,0.06334707,0.14206374,0,0.44590597150265093,1
18.0,i,-0.27008036,0.14184059999999998,0,1.9041117987374563,1
18.0,z,0.11991648,0.14226270000000002,0,0.8429228462555539,1
18.0,Y,-0.008768894000000001,0.14184059999999998,0,0.061822172213033516,1
20.0,u,-0.040062297000000004,0.14184059999999998,0,0.28244590758922344,1
20.0,g,0.02271421,0.14192066,0,0.16004864971738433,1
20.0,r,-0.034828002999999996,0.14184059999999998,0,0.24554325771323585,1
20.0,i,0.0411209,0.14198549,0,0.28961339641114037,1
20.0,z,0.14843681,0.1423629,0,1.0426649780244714,1
20.0,Y,0.09978613,0.14219193,0,0.7017706982386412,1
22.0,u,-0.031186406,0.14184059999999998,0,0.21986938859536695,1
22.0,g,0.6537649999999999,0.14412677,0,4.536041430748778,1
22.0,r,2.4506245,0.1502311,0,16.31236475004177,1
22.0,i,0.6944861999999999,0.14426796,0,4.813863036532851,1
22.0,z,0.8957229999999999,0.14496373,0,6.178945588665522,1
22.0,Y,1.3725994,0.14659932,0,9.36293156066481,1
24.0,u,0.14906792,0.14236511,0,1.047081830653592,1
24.0,g,2.3338475,0.14984193,0,15.57539668636142,1
24.0,r,5.546886,0.16020502,0,34.623671592812755,1
24.0,i,0.9408368,0.14511925,0,6.483197783891524,1
24.0,z,2.1901884,0.1493618,0,14.663644921258314,1
24.0,Y,2.8115417999999996,0.15142755,0,18.56691071076564,1
26.0,u,0.46008497,0.14345327,0,3.207211449414851,1
26.0,g,3.719321,0.15439586,0,24.08951250376791,1
26.0,r,8.521874,0.16923544,0,50.3551383799989,1
26.0,i,1.7937366999999995,0.1480287,0,12.11749275647222,1
26.0,z,3.6693325,0.15423389,0,23.79070190085979,1
26.0,Y,5.3935065,0.1597256,0,33.76732659010202,1
28.0,u,0.4869023,0.14354672,0,3.3919430551948526,1
28.0,g,5.2572303,0.15929843,0,33.0023987053733,1
28.0,r,11.643142999999998,0.17821869,0,65.33065078640179,1
28.0,i,5.182896599999999,0.15906495,0,32.58352390014267,1
28.0,z,6.448092,0.1629934,0,39.560448459876284,1
28.0,Y,8.553377000000001,0.16932850000000002,0,50.513510720286305,1
30.0,u,0.5788906999999999,0.14386678,0,4.02379687652702,1
30.0,g,7.016821,0.16472879999999998,0,42.59620054295303,1
30.0,r,14.713867,0.186635,0,78.83766174618908,1
30.0,i,9.482719,0.17205079999999998,0,55.11580881925571,1
30.0,z,9.300574000000001,0.17152065,0,54.22422314747525,1
30.0,Y,11.700538,0.17837964,0,65.59346122685302,1
32.0,u,0.63252634,0.14405307,0,4.390925788669412,1
32.0,g,8.813794999999997,0.17009571,0,51.816680150251855,1
32.0,r,18.467962,0.19643503,0,94.01562440263328,1
32.0,i,14.369839,0.18571106,0,77.3774001397655,1
32.0,z,12.947378,0.18184097,0,71.20165494057802,1
32.0,Y,15.135842000000002,0.18776208,0,80.61181469655642,1
34.0,u,0.9087732,0.14500873,0,6.267024061241002,1
34.0,g,10.904246,0.17613348,0,61.90899084035585,1
34.0,r,21.620035,0.20430075,0,105.82455032592881,1
34.0,i,19.638197,0.19939147,0,98.49065759934466,1
34.0,z,16.674225,0.19181497,0,86.92869487715166,1
34.0,Y,18.338604,0.19610548,0,93.51398033344097,1
36.0,u,0.9917681,0.14529462,0,6.82591069098085,1
36.0,g,13.430367000000002,0.1831642,0,73.32419217292464,1
36.0,r,25.844406,0.21439022,0,120.54843733077003,1
36.0,i,24.08687,0.21025136,0,114.56225538802698,1
36.0,z,21.134512,0.20310901,0,104.05501951882883,1
36.0,Y,21.208745999999998,0.20329167,0,104.32668490548578,1
38.0,u,1.2967073999999998,0.14634024,0,8.860907977190688,1
38.0,g,15.308971,0.18822256,0,81.33441071038455,1
38.0,r,28.86386,0.22132018,0,130.41675639338445,1
38.0,i,28.2627,0.21995786,0,128.49143013120786,1
38.0,z,25.013042000000002,0.21244247,0,117.74030870569337,1
38.0,Y,24.679499,0.21165599,0,116.6019397797341,1
40.0,u,1.3865659,0.14664695,0,9.45512947933796,1
40.0,g,17.245066,0.19329724,0,89.2152728098963,1
40.0,r,32.076576,0.22846298,0,140.4016353108937,1
40.0,i,31.28146,0.22671616,0,137.97631364257404,1
40.0,z,29.04087800000001,0.22171973,0,130.9801252238581,1
40.0,Y,27.176792,0.21747539999999999,0,124.96490177739643,1
42.0,u,1.3855319,0.14664342,0,9.448305965586455,1
42.0,g,19.116049,0.19807778,0,96.507791030372,1
42.0,r,35.49785,0.23583172,0,150.52194844696888,1
42.0,i,34.62167,0.23396672,0,147.97690030445358,1
42.0,z,32.860664,0.23017259,0,142.7653223174836,1
42.0,Y,30.336784,0.22462313,0,135.05636752546366,1
44.0,u,1.495632,0.14701834,0,10.173098131838518,1
44.0,g,19.40887,0.19881557,0,97.62248499954003,1
44.0,r,39.656113,0.24448899999999998,0,162.199988547542,1
44.0,i,38.61284000000001,0.24234603,0,159.32936883678275,1
44.0,z,35.84642,0.23656961,0,151.52588703172822,1
44.0,Y,34.11056,0.2328719,0,146.47778456739522,1
46.0,u,2.4017696,0.15006842,0,16.004497148700572,1
46.0,g,17.275114000000002,0.19337496,0,89.33480322374727,1
46.0,r,42.636,0.25050900000000004,0,170.19747793492448,1
46.0,i,42.084408,0.24940562,0,168.73881190006867,1
46.0,z,38.97818400000001,0.24309863,0,160.33897023607256,1
46.0,Y,38.334697999999996,0.2417715000000001,0,158.5575553777016,1
56.0,u,1.7250419999999995,0.1477965,0,11.671737828703654,1
56.0,g,14.971489000000002,0.18732391,0,79.92300075308059,1
56.0,r,53.28409,0.2709296,0,196.67134930993143,1
56.0,i,56.48535,0.27677447,0,204.08439405556445,1
56.0,z,54.958946,0.27400312,0,200.57781093879515,1
56.0,Y,52.241894,0.26899937,0,194.2082392237573,1
66.0,u,0.6370698,0.14406884,0,4.421981880328876,1
66.0,g,7.528911,0.16627589,0,45.279631340418625,1
66.0,r,37.927284,0.24092747,0,157.42199924317472,1
66.0,i,54.9103,0.27391434,0,200.46522573443949,1
66.0,z,63.757652,0.28961426,0,220.1467980202356,1
66.0,Y,57.655345999999994,0.2788801,0,206.73883149066566,1
76.0,u,0.30061895,0.1428964,0,2.103754538252888,1
76.0,g,2.3155360000000003,0.14978082,0,15.459496082342186,1
76.0,r,15.473308,0.1886586,0,82.0175067555892,1
76.0,i,33.531729999999996,0.23162575,0,144.7668491089613,1
76.0,z,47.45381,0.25994724,0,182.5516977983686,1
76.0,Y,33.579144,0.23172809,0,144.90752502210674,1
86.0,u,-0.12736234,0.14184059999999998,0,0.8979258406972334,1
86.0,g,0.8345075999999999,0.14475243,0,5.765067985387188,1
86.0,r,5.5431104000000015,0.16019322,0,34.60265297120566,1
86.0,i,17.573904000000002,0.19414598,0,90.51902079043822,1
86.0,z,29.976634999999998,0.22382,0,133.93188723081047,1
86.0,Y,23.458515,0.20875171,0,112.37519922591292,1
96.0,u,0.05267138,0.14202617,0,0.37085686391458694,1
96.0,g,0.47791517,0.14351541,0,3.330061698600868,1
96.0,r,3.887809,0.15494053,0,25.092266045559544,1
96.0,i,10.98482,0.17636208,0,62.28561151013868,1
96.0,z,23.845955,0.20967764,0,113.72674263216622,1
96.0,Y,19.550524,0.1991715,0,98.15924467104982,1
106.0,u,0.052247837000000005,0.14202467,0,0.3678786016542056,1
106.0,g,0.38471022,0.14319032,0,2.6867054979694154,1
106.0,r,3.3989835,0.15335494,0,22.164160476343312,1
106.0,i,8.619069,0.16952236,0,50.84325749122416,1
106.0,z,19.2742,0.1984766,0,97.11069214204596,1
106.0,Y,17.743633,0.19458261,0,91.18817452392071,1
116.0,u,0.21457668,0.14259501,0,1.5047979589187588,1
116.0,g,0.5111314,0.14363109,0,3.5586404029935306,1
116.0,r,2.4555962000000005,0.15024765,0,16.343657954051196,1
116.0,i,7.8680377,0.16729254,0,47.031611212311084,1
116.0,z,15.319251000000001,0.18824986,0,81.37722386619572,1
116.0,Y,16.097345,0.19030529999999998,0,84.58695054735733,1
126.0,u,-0.07326479,0.14184059999999998,0,0.5165290473954566,1
126.0,g,0.40925494,0.143276,0,2.8564095870906505,1
126.0,r,2.030883,0.14882757,0,13.645878918805167,1
126.0,i,7.5565224,0.1663589,0,45.423012534947034,1
126.0,z,12.6906185,0.1811336,0,70.06219994523379,1
126.0,Y,14.717135,0.18664376,0,78.85147084477939,1
