mjd,band,flux,fluxerr,detected_bool,ratio,ratio2bool
12.0,u,0.085461825,0.14214155,0,0.6012444988815726,1
12.0,g,-0.23002808,0.14184059999999998,0,1.6217365126769065,1
12.0,r,0.14096224,0.14233665,0,0.9903439486597442,1
12.0,i,0.28284863,0.14283420000000002,0,1.9802584395053842,1
12.0,z,0.03675383,0.14197011,0,0.2588842820506373,1
12.0,Y,-0.13964415,0.14184059999999998,0,0.9845146594134543,1
14.0,u,-0.004817201,0.14184059999999998,0,0.03396207432850679,1
14.0,g,0.11291101,0.14223808,0,0.7938170284638264,1
14.0,r,-0.007880783,0.14184059999999998,0,0.05556084083118657,1
14.0,i,-0.05473992,0.14184059999999998,0,0.3859256094517367,1
14.0,z,0.088186234,0.14215113,0,0.6203695601997677,1
14.0,Y,-0.19508304,0.14184059999999998,0,1.3753681245003195,1
16.0,u,0.10132739999999996,0.14219736,0,0.7125828496394023,1
16.0,g,-0.09469299,0.14184059999999998,0,0.6676014483864282,1
16.0,r,0.27248058,0.1427979,0,1.9081553720327817,1
16.0,i,0.030158712999999997,0.14194688,0,0.21246478260036428,1
16.0,z,-0.05245202,0.14184059999999998,0,0.36979553103977286,1
16.0,Y,-0.12272738,0.14184059999999998,0,0.8652485959591261,1
18.0,u,-0.049125842999999995,0.14184059999999998,0,0.3463454257807708,1
18.0,g,-0.028450022999999998,0.14184059999999998,0,0.20057742987550814,1
18.0,r,-0.10175325,0.14184059999999998,0,0.7173774645623328,1
18.0,i,0.09877558,0.14218839,0,0.694681049556859,1
18.0,z,-0.11909616,0.14184059999999998,0,0.8396478864302606,1
18.0,Y,0.02657068,0.14193425,0,0.18720414558149281,1
20.0,u,-0.11532645,0.14184059999999998,0,0.8130707991928969,1
20.0,g,-0.03348032,0.14184059999999998,0,0.23604186671517186,1
20.0,r,0.30811808,0.14292262,0,2.1558384530034505,1
20.0,i,0.15607932,0.14238974,0,1.09614161806883,1
20.0,z,-0.30174428,0.14184059999999998,0,2.127347741055805,1
20.0,Y,0.16008289,0.14240379999999994,0,1.1241475999938209,1
22.0,u,0.16391093,0.14241724,0,1.1509205627071555,1
22.0,g,-0.07831062400000001,0.14184059999999998,0,0.5521030226888495,1
22.0,r,-0.2557331,0.14184059999999998,0,1.802961211387995,1
22.0,i,0.06545422,0.14207116,0,0.46071433498536923,1
22.0,z,-0.119203895,0.14184059999999998,0,0.8404074362347594,1
22.0,Y,-0.13035052,0.14184059999999998,0,0.9189930104638588,1
24.0,u,0.16708598,0.14242838,0,1.1731228003857097,1
24.0,g,-0.07037366,0.14184059999999998,0,0.49614609639271134,1
24.0,r,0.08281752,0.14213225,0,0.5826793004402591,1
24.0,i,0.036034002999999995,0.14196758,0,0.2538185337807406,1
24.0,z,-0.1148353,0.14184059999999998,0,0.8096081093847601,1
24.0,Y,0.00674385,0.14186437,0,0.04753730623129684,1
26.0,u,1.7333408e-05,0.14184067,0,0.00012220337086676198,1
26.0,g,-0.14871792,0.14184059999999998,0,1.0484862585183652,1
26.0,r,0.09924060000000001,0.14219002,0,0.6979434984255577,1
26.0,i,-0.29358327,0.14184059999999998,0,2.0698112529134822,1
26.0,z,-0.13337338,0.14184059999999998,0,0.9403046800422448,1
26.0,Y,0.026559684,0.1419342,0,0.1871267390100483,1
28.0,u,0.06522917,0.14207035,0,0.45913288733363433,1
28.0,g,0.05829663,0.14204596,0,0.4104068148083902,1
28.0,r,0.14446929,0.14234897,0,1.0148952254449048,1
28.0,i,-0.053855762,0.14184059999999998,0,0.37969214738234336,1
28.0,z,-0.014836368999999999,0.14184059999999998,0,0.10459888776556218,1
28.0,Y,-0.070421405,0.14184059999999998,0,0.496482706643937,1
30.0,u,-0.1280166,0.14184059999999998,0,0.9025384833397492,1
30.0,g,-0.26292744,0.14184059999999998,0,1.8536825140333588,1
30.0,r,-0.035837732000000004,0.14184059999999998,0,0.25266201637612934,1
30.0,i,-0.010983757,0.14184059999999998,0,0.07743732753527552,1
30.0,z,0.03885831,0.14197752,0,0.27369339878594867,1
30.0,Y,-0.23401302,0.14184059999999998,0,1.649831007483048,1
32.0,u,-0.07176894,0.14184059999999998,0,0.5059830542171988,1
32.0,g,0.014612557,0.14189212,0,0.10298356948927113,1
32.0,r,-0.10090094,0.14184059999999998,0,0.7113685362301062,1
32.0,i,-0.055349138,0.14184059999999998,0,0.3902206984460021,1
32.0,z,-0.039124953999999997,0.14184059999999998,0,0.27583748235695565,1
32.0,Y,-0.045248425999999994,0.14184059999999998,0,0.3190089861436006,1
34.0,u,-0.022348061000000002,0.14184059999999998,0,0.1575575751935624,1
34.0,g,0.005147333,0.14185876,0,0.03628491465736765,1
34.0,r,0.12784089,0.14229055,0,0.8984496159442775,1
