mjd,band,flux,fluxerr,detected_bool,ratio,ratio2bool
0.0,u,0.10150678,0.14219798,0,0.7138412233422725,1
0.0,g,0.1577026,0.14239545,0,1.1074974656844723,1
0.0,r,-0.025510882999999998,0.14184059999999998,0,0.17985600032712779,1
0.0,i,-0.25467846,0.14184059999999998,0,1.7955258226488044,1
0.0,z,-0.012147903,0.14184059999999998,0,0.08564475192575328,1
0.0,Y,-0.08059974,0.14184059999999998,0,0.5682416741045936,1
2.0,u,0.16243131,0.14241205,0,1.1405727956307066,1
2.0,g,0.12193323,0.14226979,0,0.8570563715599777,1
2.0,r,-0.16031498,0.14184059999999998,0,1.1302474749824805,1
2.0,i,0.066370934,0.14207439,0,0.46715621302333243,1
2.0,z,0.11525255,0.1422463,0,0.8102323223872958,1
2.0,Y,0.27691302,0.14281341,0,1.93898472139276,1
4.0,u,-0.080340914,0.14184059999999998,0,0.5664169074298897,1
4.0,g,0.021215446000000002,0.14191538,0,0.14949363486889158,1
4.0,r,0.24516486,0.14270222,0,1.7180171408685865,1
4.0,i,-0.02638144,0.14184059999999998,0,0.18599357306723183,1
4.0,z,-0.045097087,0.14184059999999998,0,0.3179420208318352,1
4.0,Y,-0.30652168,0.14184059999999998,0,2.1610292116643617,1
6.0,u,-0.03772853,0.14184059999999998,0,0.2659924591407538,1
6.0,g,0.10973698,0.14222692,0,0.7715626549460538,1
6.0,r,0.033435766,0.14195842,0,0.23553210862730087,1
6.0,i,-0.12496092,0.14184059999999998,0,0.8809954272613061,1
6.0,z,0.12710407,0.14228797,0,0.8932875351303416,1
6.0,Y,-0.06994557,0.14184059999999998,0,0.49312799015232595,1
8.0,u,0.047923703,0.14200945,0,0.3374684079122903,1
8.0,g,0.036315974,0.14196856,0,0.25580293270566384,1
8.0,r,-0.2633495,0.14184059999999998,0,1.8566581077632218,1
8.0,i,-0.031760164,0.14184059999999998,0,0.22391447864715747,1
8.0,z,-0.22100228,0.14184059999999998,0,1.5581031101109275,1
8.0,Y,-0.123278625,0.14184059999999998,0,0.8691349655881322,1
10.0,u,-0.25584647,0.14184059999999998,0,1.803760488886821,1
10.0,g,-0.07704295,0.14184059999999998,0,0.5431657085488922,1
10.0,r,0.1730168,0.14244920000000005,0,1.2145859717007883,1
10.0,i,0.01472741,0.14189252,0,0.10379271578234005,1
10.0,z,0.05017833,0.14201738,0,0.35332527610353043,1
10.0,Y,-0.0020141127,0.14184059999999998,0,0.014199832065008187,1
12.0,u,0.16716148,0.14242865,0,1.1736506664916084,1
12.0,g,-0.014477773000000001,0.14184059999999998,0,0.10207072587115398,1
12.0,r,0.13636872,0.14232051,0,0.9581803775155106,1
12.0,i,-0.2903644,0.14184059999999998,0,2.0471176799872537,1
12.0,z,0.008977186,0.14187226,0,0.06327654186942536,1
12.0,Y,-0.10228283,0.14184059999999998,0,0.7211110923106644,1
14.0,u,0.098810256,0.1421885,0,0.6949243855867387,1
14.0,g,0.016553696,0.14189896,0,0.11665833209771236,1
14.0,r,-0.21394050000000006,0.14184059999999998,0,1.5083163776802981,1
14.0,i,-0.17605326,0.14184059999999998,0,1.2412049864425279,1
14.0,z,0.1331898,0.14230934,0,0.9359174879175182,1
14.0,Y,-0.082735844,0.14184059999999998,0,0.5833015652782068,1
16.0,u,0.33203325,0.14300627,0,2.321809036764612,1
16.0,g,-0.047277343,0.14184059999999998,0,0.3333131910045502,1
16.0,r,0.015145985,0.141894,0,0.10674154650654716,1
16.0,i,0.009059196,0.14187254,0,0.06385447106254671,1
16.0,z,0.061018474,0.14205554,0,0.42953955896405027,1
16.0,Y,0.03289609,0.14195652,0,0.23173356179765467,1
18.0,u,-0.05836745700000001,0.14184059999999998,0,0.411500353213396,1
18.0,g,0.28662774,0.14284743,0,2.0065306040157673,1
18.0,r,-0.001955578,0.14184059999999998,0,0.013787152620617794,1
18.0,i,-0.05024238,0.14184059999999998,0,0.35421719874281415,1
18.0,z,0.17600639,0.14245970000000002,0,1.2354819643730823,1
18.0,Y,-0.044839785,0.14184059999999998,0,0.31612799861252705,1
20.0,u,0.045458037,0.14200076,0,0.32012530778004283,1
20.0,g,-0.07032901,0.14184059999999998,0,0.4958313064101534,1
20.0,r,0.20875095,0.14257458,0,1.4641526561046154,1
20.0,i,-0.009201731999999999,0.14184059999999998,0,0.06487375264910047,1
20.0,z,0.03723756,0.14197181,0,0.2622884078184254,1
20.0,Y,-0.0005719294400000001,0.14184059999999998,0,0.004032198397355906,1
22.0,u,0.22601177,0.14263510000000001,0,1.584545248680023,1
22.0,g,0.029054338,0.141943,0,0.20469017845191376,1
22.0,r,0.211022,0.14258254,0,1.4799988834537523,1
22.0,i,-0.20242128,0.14184059999999998,0,1.4271039462608028,1
22.0,z,0.15628028,0.14239044,0,1.09754756007496,1
22.0,Y,0.022253482,0.14191903,0,0.1568040734213023,1
24.0,u,-0.29096386,0.14184059999999998,0,2.051343973446249,1
24.0,g,0.26809427,0.14278255,0,1.8776402998825839,1
24.0,r,-0.04558409,0.14184059999999998,0,0.3213754735950074,1
24.0,i,-0.048370615,0.14184059999999998,0,0.341020941817787,1
24.0,z,-0.04697609,0.14184059999999998,0,0.33118930686982434,1
24.0,Y,0.3669623,0.14312834,0,2.5638689025527723,1
