mjd,band,flux,fluxerr,detected_bool,ratio,ratio2bool
0.0,u,-0.040833734,0.14184059999999998,0,0.2878846677185517,1
0.0,g,-0.12548539,0.14184059999999998,0,0.8846930286532912,1
0.0,r,0.1686638,0.14243393,0,1.1841546462981118,1
0.0,i,0.033912323,0.14196011,0,0.23888628291426375,1
0.0,z,-0.043703105,0.14184059999999998,0,0.3081142141248698,1
0.0,Y,0.015383098999999999,0.14189483,0,0.10841197667314587,1
2.0,u,0.046038207000000005,0.14200279999999998,0,0.3242063325511892,1
2.0,g,-0.26752612,0.14184059999999998,0,1.8861039786915736,1
2.0,r,0.13249066,0.14230688,0,0.9310207630158149,1
2.0,i,-0.018086303,0.14184059999999998,0,0.12751146709757294,1
2.0,z,-0.19250545,0.14184059999999998,0,1.357195683041386,1
2.0,Y,0.09126027,0.14216194,0,0.6419458682119843,1
4.0,u,-0.1534844,0.14184059999999998,0,1.0820907412969207,1
4.0,g,0.061394665,0.14205687,0,0.43218370924264343,1
4.0,r,0.026449401,0.14193383,0,0.1863502239036317,1
4.0,i,0.09554009,0.142177,0,0.6719799264297319,1
4.0,z,-0.19439991,0.14184059999999998,0,1.3705519435196978,1
4.0,Y,-0.0062635930000000005,0.14184059999999998,0,0.04415938031847018,1
6.0,u,0.029686589,0.14194523,0,0.2091411525417233,1
6.0,g,0.046015455999999996,0.14200273,0,0.3240462771384747,1
6.0,r,-0.18966013,0.14184059999999998,0,1.3371357002155944,1
6.0,i,0.2790033,0.14282075,0,1.9535207594134607,1
6.0,z,-0.014015518999999999,0.14184059999999998,0,0.09881175770548066,1
6.0,Y,-0.098427035,0.14184059999999998,0,0.6939270913969625,1
8.0,u,-0.10080937,0.14184059999999998,0,0.7107229523845783,1
8.0,g,0.16497533,0.14242098,0,1.1583639573326907,1
8.0,r,0.12496810400000001,0.14228046,0,0.8783223219829344,1
8.0,i,-0.19614398,0.14184059999999998,0,1.3828479292952796,1
8.0,z,-0.17689851,0.14184059999999998,0,1.247164140591622,1
8.0,Y,0.045209877,0.1419999,0,0.3183796397039716,1
10.0,u,0.031688474,0.14195228,0,0.22323328656644334,1
10.0,g,0.1965569,0.14253181,0,1.379038826490732,1
10.0,r,-0.06403794,0.14184059999999998,0,0.4514782086370194,1
10.0,i,0.20553519,0.14256329999999998,0,1.4417117869746283,1
10.0,z,0.13878591,0.14232899999999998,0,0.9751063381320745,1
10.0,Y,0.014308226,0.14189103,0,0.10083953862340699,1
12.0,u,-0.08631305,0.14184059999999998,0,0.608521467055272,1
12.0,g,0.08908628,0.14215429,0,0.626687242432149,1
12.0,r,0.19584866,0.14252932,0,1.374093835570113,1
12.0,i,-0.05097155,0.14184059999999998,0,0.3593579694389336,1
12.0,z,-0.12931141,0.14184059999999998,0,0.9116671108272244,1
12.0,Y,-0.12244849999999999,0.14184059999999998,0,0.863282445223723,1
14.0,u,-0.16673632,0.14184059999999998,0,1.1755189980865846,1
14.0,g,-0.052572872,0.14184059999999998,0,0.37064755789245113,1
14.0,r,0.25274017,0.14272876,0,1.7707725478733225,1
14.0,i,-0.16192234,0.14184059999999998,0,1.141579632347861,1
14.0,z,0.23415798,0.14266366,0,1.641328842958326,1
14.0,Y,0.27096167,0.14279258,0,1.8975892865021418,1
16.0,u,0.22191726,0.14262074,0,1.555995712825498,1
16.0,g,-0.0040798956,0.14184059999999998,0,0.028763947699036813,1
16.0,r,0.09442416599999999,0.14217308,0,0.6641494015604078,1
16.0,i,-0.1355003,0.14184059999999998,0,0.9552998224767804,1
16.0,z,-0.11276880000000004,0.14184059999999998,0,0.7950389380755585,1
16.0,Y,-0.023406267,0.14184059999999998,0,0.16501810483035184,1
18.0,u,0.08449525,0.14213815,0,0.5944586305647006,1
18.0,g,0.108525656,0.14222266,0,0.7630686699292504,1
18.0,r,-0.19197914,0.14184059999999998,0,1.3534851093410492,1
18.0,i,-0.08593031,0.14184059999999998,0,0.6058230859147522,1
18.0,z,-0.20797892,0.14184059999999998,0,1.466286239623916,1
18.0,Y,-0.03076496,0.14184059999999998,0,0.21689812366839964,1
20.0,u,-0.0064642219999999995,0.14184059999999998,0,0.04557384839037624,1
20.0,g,-0.020497851,0.14184059999999998,0,0.1445132846307757,1
20.0,r,0.21900913,0.14261055,0,1.5357147840745302,1
20.0,i,0.03276962,0.14195609,0,0.23084335444854812,1
20.0,z,0.1269681,0.14228748,0,0.8923350107823964,1
20.0,Y,0.12472552,0.1422796,0,0.8766226500496206,1
22.0,u,0.09024554,0.14215839,0,0.6348238749749487,1
22.0,g,0.005213612,0.14185899999999999,0,0.036752070718107425,1
22.0,r,-0.064726874,0.14184059999999998,0,0.45633530879029005,1
22.0,i,0.1905103,0.1425106,0,1.3368149456952676,1
22.0,z,0.054775885999999996,0.14203356,0,0.38565453122487386,1
22.0,Y,-0.24822262,0.14184059999999998,0,1.7500110687631047,1
24.0,u,0.022792429,0.14192092,0,0.16059950146884616,1
24.0,g,0.2733198,0.14280084,0,1.913992942898655,1
24.0,r,0.05322227,0.14202811,0,0.3747305374971194,1
24.0,i,-0.02420362,0.14184059999999998,0,0.17063957710274774,1
24.0,z,-0.15489206,0.14184059999999998,0,1.0920149801960795,1
24.0,Y,-0.16005045,0.14184059999999998,0,1.1283824941518863,1
26.0,u,-0.040717557,0.14184059999999998,0,0.28706560039932155,1
26.0,g,0.09346695,0.14216971,0,0.6574322336312003,1
26.0,r,-0.051566225,0.14184059999999998,0,0.36355052784604697,1
26.0,i,0.031767424,0.14195254,0,0.22378904949499323,1
26.0,z,0.021916612999999998,0.14191784,0,0.15443169794579736,1
26.0,Y,-0.33114940000000004,0.14184059999999998,0,2.334658764838841,1
28.0,u,-0.21033455,0.14184059999999998,0,1.4828938258862416,1
28.0,g,-0.12819235,0.14184059999999998,0,0.9037775502923706,1
28.0,r,0.025181567000000002,0.14192936,0,0.1774232406881846,1
28.0,i,-0.12076889999999996,0.14184059999999998,0,0.8514409837521836,1
28.0,z,0.09758498,0.14218418,0,0.686327972633805,1
28.0,Y,0.14944117,0.14236642,0,1.0496939517057464,1
30.0,u,-0.1130205,0.14184059999999998,0,0.7968134652560692,1
30.0,g,-0.08317573,0.14184059999999998,0,0.586402835295395,1
30.0,r,0.13803501,0.14232637,0,0.9698484546468796,1
30.0,i,0.14080378,0.14233609,0,0.9892345644734234,1
30.0,z,0.07016129,0.14208773,0,0.4937885206555134,1
30.0,Y,-0.14532024,0.14184059999999998,0,1.0245320451267128,1
32.0,u,0.051470327999999996,0.14202192,0,0.36241115455980316,1
32.0,g,-0.0003068882,0.14184059999999998,0,0.0021636132390866936,1
32.0,r,0.0027881924,0.14185043,0,0.019655861459143973,1
32.0,i,0.05827243,0.14204589,0,0.410236649578527,1
32.0,z,0.22441481,0.14262950000000002,0,1.5734109002695793,1
32.0,Y,0.043407463,0.14199355,0,0.3057002448350647,1
34.0,u,-0.022859172999999997,0.14184059999999998,0,0.16116100044698062,1
34.0,g,0.05291955,0.14202704,0,0.3726019355187576,1
34.0,r,-0.06423504,0.14184059999999998,0,0.4528677966675268,1
34.0,i,0.18078966,0.14247648,0,1.2689088051585777,1
34.0,z,-0.19504854,0.14184059999999998,0,1.3751248937187237,1
34.0,Y,-0.09208553,0.14184059999999998,0,0.6492184184218059,1
36.0,u,-0.13446471,0.14184059999999998,0,0.9479987394300363,1
36.0,g,-0.07817122,0.14184059999999998,0,0.5511202011271809,1
36.0,r,-0.114153415,0.14184059999999998,0,0.8048007058627784,1
36.0,i,-0.06352651,0.14184059999999998,0,0.4478725414303098,1
36.0,z,-0.10557406400000001,0.14184059999999998,0,0.7443148435638317,1
36.0,Y,0.21504137,0.14259663,0,1.508039635999813,1
38.0,u,0.16714747,0.14242860000000002,0,1.1735527134297463,1
38.0,g,0.10339044,0.14220461,0,0.7270540666719595,1
38.0,r,0.10642553,0.14221527,0,0.7483410888296314,1
38.0,i,-0.09367726,0.14184059999999998,0,0.6604403816678723,1
38.0,z,-0.24280572,0.14184059999999998,0,1.7118210159855503,1
38.0,Y,0.14286852,0.14234334,0,1.0036895298368016,1
40.0,u,18.193197,0.19573441,0,92.94838347534295,1
40.0,g,5.7464949999999995,0.16082679,0,35.73095626667671,1
40.0,r,3.6695597,0.15423462,0,23.792062378731835,1
40.0,i,2.6758616,0.15097888,0,17.72341667920705,1
40.0,z,2.6579094,0.15091942,0,17.611447221305248,1
40.0,Y,2.3950438,0.150046,0,15.96206363381896,1
42.0,u,218.26857,0.48824924,0,447.04333794764335,1
42.0,g,71.427704,0.30256647,0,236.07276774587748,1
42.0,r,47.6812,0.26038426,0,183.1185955710226,1
42.0,i,36.859505,0.23870121,0,154.4169172833267,1
42.0,z,35.689003,0.23623666,0,151.07309339710443,1
42.0,Y,32.975970000000004,0.23042294,0,143.11062084356706,1
44.0,u,498.69702,0.7202887,0,692.3571340214,1
44.0,g,168.42493000000005,0.43421614,0,387.88270284011105,1
44.0,r,116.93531000000002,0.37020817,0,315.8636666500364,1
44.0,i,96.41835,0.34137532,0,282.44089232929906,1
44.0,z,91.70584000000001,0.33440185,0,274.23843498473474,1
