mjd,band,flux,fluxerr,detected_bool
53056.0,z,-0.35449836,0.14184059999999998,0
53056.0,Y,0.14115918,0.14233734,0
53058.0,u,0.08195319999999999,0.14212921,0
53058.0,g,0.04443352,0.14199716,0
53058.0,r,-0.029292643,0.14184059999999998,0
53058.0,i,0.1020721,0.14219996,0
53058.0,z,0.14425665,0.14234821,0
53058.0,Y,0.0031077417,0.14185156,0
53060.0,u,0.082086034,0.14212969,0
53060.0,g,-0.21638298,0.14184059999999998,0
53060.0,r,-0.06519696,0.14184059999999998,0
53060.0,i,-0.06455319999999999,0.14184059999999998,0
53060.0,z,-0.024933588,0.14184059999999998,0
53060.0,Y,-0.054326914,0.14184059999999998,0
53062.0,u,-0.14448056,0.14184059999999998,0
53062.0,g,-0.17024116,0.14184059999999998,0
53062.0,r,0.13052025,0.14229995,0
53062.0,i,0.08640505400000001,0.14214487,0
53062.0,z,-0.14694758,0.14184059999999998,0
53062.0,Y,-0.056088984,0.14184059999999998,0
53064.0,u,-0.12838219,0.14184059999999998,0
53064.0,g,0.0030282831,0.14185129,0
53064.0,r,-0.08680898,0.14184059999999998,0
53064.0,i,0.018339554,0.14190525,0
53064.0,z,-0.36633593,0.14184059999999998,0
53064.0,Y,-0.10709121,0.14184059999999998,0
53066.0,u,-0.1944945,0.14184059999999998,0
53066.0,g,0.08842066,0.14215197,0
53066.0,r,-0.18368663,0.14184059999999998,0
53066.0,i,0.021494778,0.14191636,0
53066.0,z,0.23576389,0.14266928,0
53066.0,Y,0.15607382,0.14238973,0
53068.0,u,0.101790376,0.14219898,0
53068.0,g,-0.28421918,0.14184059999999998,0
53068.0,r,0.047526952,0.14200805,0
53068.0,i,0.28591508,0.14284493,0
53068.0,z,0.049600445,0.14201535,0
53068.0,Y,-0.3738509,0.14184059999999998,0
53070.0,u,-0.075297266,0.14184059999999998,0
53070.0,g,0.060010683,0.142052,0
53070.0,r,0.27911988,0.14282115,0
53070.0,i,-0.042035278,0.14184059999999998,0
53070.0,z,0.16623075,0.14242539,0
53070.0,Y,-0.123224296,0.14184059999999998,0
53072.0,u,-0.105518885,0.14184059999999998,0
53072.0,g,0.057208747,0.14204213,0
53072.0,r,0.11543882,0.14224696,0
53072.0,i,0.15499035,0.14238593,0
53072.0,z,0.033795554,0.14195970000000002,0
53072.0,Y,0.060624152,0.14205416,0
53074.0,u,0.13591702,0.14231892,0
53074.0,g,0.14058942,0.14233534,0
53074.0,r,0.34211108,0.1430415,0
53074.0,i,0.015023754,0.14189357,0
53074.0,z,-0.124925256,0.14184059999999998,0
53074.0,Y,-0.11470098,0.14184059999999998,0
53076.0,u,0.079436615,0.14212036,0
53076.0,g,0.09666972,0.14218096,0
53076.0,r,-0.021300029,0.14184059999999998,0
53076.0,i,0.015677936,0.14189588,0
53076.0,z,0.30132857,0.14289889,0
53076.0,Y,0.257521,0.14274551,0
53078.0,u,-0.093964554,0.14184059999999998,0
53078.0,g,-0.0756807,0.14184059999999998,0
53078.0,r,-0.097869605,0.14184059999999998,0
53078.0,i,-0.04918558,0.14184059999999998,0
53078.0,z,0.114020556,0.14224197,0
53078.0,Y,0.23282310000000006,0.14265896,0
53080.0,u,-0.16789107,0.14184059999999998,0
53080.0,g,-0.18008120000000002,0.14184059999999998,0
53080.0,r,0.015728362,0.14189604,0
53080.0,i,0.093015395,0.14216812,0
53080.0,z,-0.110794336,0.14184059999999998,0
53080.0,Y,-0.15729573,0.14184059999999998,0
53082.0,u,-0.014088132,0.14184059999999998,0
53082.0,g,-0.07437163,0.14184059999999998,0
53082.0,r,0.14161062,0.14233893,0
53082.0,i,-0.07808839999999999,0.14184059999999998,0
53082.0,z,0.18262723,0.14248294,0
53082.0,Y,-0.17228961,0.14184059999999998,0
53084.0,u,-0.27089393,0.14184059999999998,0
53084.0,g,-0.09966798,0.14184059999999998,0
53084.0,r,-0.051326606,0.14184059999999998,0
53084.0,i,0.36112648,0.14310795,0
53084.0,z,-0.21266635,0.14184059999999998,0
53084.0,Y,0.23950152,0.14268237,0
53086.0,u,-0.22783542,0.14184059999999998,0
53086.0,g,-0.005097231,0.14184059999999998,0
53086.0,r,0.03501136,0.14196397,0
53086.0,i,0.0024868196,0.14184938,0
53086.0,z,0.0067238603,0.14186431,0
