mjd,band,flux,fluxerr,detected_bool
53222.0,u,0.083296835,0.14213394,0
53222.0,g,-0.08633791,0.14184059999999998,0
53222.0,r,0.14309469,0.14234415,0
53222.0,i,-0.12010308,0.14184059999999998,0
53222.0,z,0.06728881,0.14207761,0
53222.0,Y,0.014838927,0.14189291,0
53224.0,u,-0.19079573,0.14184059999999998,0
53224.0,g,-0.017800998000000002,0.14184059999999998,0
53224.0,r,0.0712676,0.14209162,0
53224.0,i,-0.05275592,0.14184059999999998,0
53224.0,z,0.067321464,0.14207773,0
53224.0,Y,0.035298385,0.14196499,0
53226.0,u,-0.010969535,0.14184059999999998,0
53226.0,g,-0.10962872,0.14184059999999998,0
53226.0,r,0.17534174,0.14245737,0
53226.0,i,0.023500722,0.14192343,0
53226.0,z,0.23594026,0.14266989,0
53226.0,Y,0.09819771,0.14218634,0
53228.0,u,0.04178287,0.14198783,0
53228.0,g,-0.17825173,0.14184059999999998,0
53228.0,r,0.04340759,0.14199355,0
53228.0,i,0.0047217673,0.14185725,0
53228.0,z,0.035372138,0.14196524,0
53228.0,Y,-0.08414235,0.14184059999999998,0
53230.0,u,0.040062904,0.14198177,0
53230.0,g,-0.27665222,0.14184059999999998,0
53230.0,r,0.006220161,0.14186253,0
53230.0,i,-0.16638452,0.14184059999999998,0
53230.0,z,-0.12662545,0.14184059999999998,0
53230.0,Y,-0.05351132,0.14184059999999998,0
53232.0,u,-0.19836588,0.14184059999999998,0
53232.0,g,-0.01672792,0.14184059999999998,0
53232.0,r,-0.19554235,0.14184059999999998,0
53232.0,i,0.023270905,0.14192262,0
53232.0,z,-0.20708513,0.14184059999999998,0
53232.0,Y,-0.11145312,0.14184059999999998,0
53234.0,u,-0.23130858,0.14184059999999998,0
53234.0,g,0.036780592,0.14197022,0
53234.0,r,0.04276114,0.14199127,0
53234.0,i,-0.12491832,0.14184059999999998,0
53234.0,z,-0.07140914,0.14184059999999998,0
53234.0,Y,0.15968908,0.14240243,0
53236.0,u,0.029677015,0.14194518,0
53236.0,g,0.1478664,0.14236089999999998,0
53236.0,r,-0.026162455,0.14184059999999998,0
53236.0,i,-0.057464737,0.14184059999999998,0
53236.0,z,-0.031316377,0.14184059999999998,0
53236.0,Y,-0.24267378,0.14184059999999998,0
53238.0,u,0.12740435,0.14228901,0
53238.0,g,-0.08462106400000001,0.14184059999999998,0
53238.0,r,0.030382145,0.14194767,0
53238.0,i,0.11329397,0.14223942,0
53238.0,z,0.08936366400000001,0.14215527,0
53238.0,Y,-0.027494831,0.14184059999999998,0
53240.0,u,-0.010172675,0.14184059999999998,0
53240.0,g,-0.11532962,0.14184059999999998,0
53240.0,r,0.13577028,0.14231839999999998,0
53240.0,i,-0.29075277,0.14184059999999998,0
53240.0,z,0.15141237,0.14237335,0
53240.0,Y,-0.18369997,0.14184059999999998,0
53242.0,u,0.113262214,0.1422393,0
53242.0,g,0.25282136,0.14272904,0
53242.0,r,0.25682643,0.14274307,0
53242.0,i,-0.001460375,0.14184059999999998,0
53242.0,z,-0.38125467,0.14184059999999998,0
53242.0,Y,0.07692773,0.14211152,0
53244.0,u,-0.13664052,0.14184059999999998,0
53244.0,g,-0.12436753,0.14184059999999998,0
53244.0,r,0.09570059,0.14217757,0
53244.0,i,0.05371779,0.14202985,0
53244.0,z,-0.11284077,0.14184059999999998,0
53244.0,Y,0.08619704,0.14214413,0
53246.0,u,-0.00599316,0.14184059999999998,0
53246.0,g,0.017628117,0.14190274,0
53246.0,r,0.16868484,0.142434,0
53246.0,i,-0.1013342,0.14184059999999998,0
53246.0,z,0.08500827,0.14213996,0
53246.0,Y,0.101238586,0.14219704,0
53248.0,u,0.13417612,0.14231281,0
53248.0,g,-0.037494633,0.14184059999999998,0
53248.0,r,-0.26305270000000003,0.14184059999999998,0
53248.0,i,-0.17939848,0.14184059999999998,0
53248.0,z,0.003486377,0.1418529,0
53248.0,Y,0.029996403,0.14194632,0
53250.0,u,-0.043748967,0.14184059999999998,0
53250.0,g,0.0012177267,0.14184491,0
53250.0,r,-0.093335524,0.14184059999999998,0
53250.0,i,-0.04314875,0.14184059999999998,0
53250.0,z,-0.04060326,0.14184059999999998,0
53250.0,Y,0.013098808,0.14188679,0
53252.0,u,-0.049818758,0.14184059999999998,0
53252.0,g,-0.13527083,0.14184059999999998,0
53252.0,r,0.011548432,0.14188132,0
53252.0,i,0.111824706,0.14223425,0
53252.0,z,0.056635205,0.14204012,0
53252.0,Y,0.07528604,0.14210576,0
53254.0,u,-0.059110414000000014,0.14184059999999998,0
53254.0,g,-0.04248299,0.14184059999999998,0
53254.0,r,0.10720568,0.14221802,0
53254.0,i,0.009246276,0.14187320000000006,0
53254.0,z,0.2158995,0.14259964,0
53254.0,Y,0.08791895,0.1421502,0
53256.0,u,0.14207697,0.14234056,0
53256.0,g,0.48969948,0.14355648,0
53256.0,r,1.3859162,0.14664473,0
53256.0,i,0.33729425,0.14302465,0
53256.0,z,0.36846277,0.14313358,0
53256.0,Y,0.6118143,0.14398116,0
53258.0,u,0.19654204,0.14253175,0
53258.0,g,1.3230879999999998,0.14643034,0
53258.0,r,3.5547965,0.15386213,0
53258.0,i,0.905156,0.14499626,0
53258.0,z,1.5160027,0.1470876,0
53258.0,Y,2.4537375,0.15024145,0
53260.0,u,0.24274853,0.14269376,0
53260.0,g,2.3798318,0.1499953,0
53260.0,r,6.043006,0.16174598,0
53260.0,i,3.2227066000000004,0.15277915,0
53260.0,z,2.8870776,0.15167676,0
53260.0,Y,4.6344676,0.15733159,0
53262.0,u,0.20304008,0.14255455,0
53262.0,g,3.6338139,0.15411870000000005,0
53262.0,r,8.718224000000001,0.16981456,0
53262.0,i,6.518429,0.16320904,0
53262.0,z,5.387339599999999,0.15970628,0
53262.0,Y,6.9316354,0.16447005,0
53264.0,u,0.5462944000000001,0.14375345,0
53264.0,g,5.2778773,0.15936323,0
53264.0,r,11.5215,0.17787708,0
53264.0,i,10.03333,0.17364357,0
53264.0,z,8.484762,0.16912577,0
53264.0,Y,9.642375,0.17251416,0
53266.0,u,0.5647286,0.14381754,0
53266.0,g,6.591483599999999,0.16343267,0
53266.0,r,14.119078,0.18503469,0
53266.0,i,13.762567,0.1840688,0
53266.0,z,11.367663,0.17744413,0
53266.0,Y,11.879595,0.17888084,0
53268.0,u,0.9773769,0.14524509,0
53268.0,g,7.903294,0.16739789,0
53268.0,r,16.861511,0.19230255,0
53268.0,i,16.466362,0.19127236,0
53268.0,z,14.708255,0.18661998,0
53268.0,Y,14.1672325,0.18516476,0
53270.0,u,0.81468254,0.14468394,0
53270.0,g,9.332519,0.17161375,0
53270.0,r,19.260548,0.1984422,0
53270.0,i,18.954004,0.19766831,0
53270.0,z,17.425848000000002,0.19376431,0
53270.0,Y,16.496605,0.19135141,0
53272.0,u,0.89328283,0.14495529999999998,0
53272.0,g,8.101948,0.16799021,0
53272.0,r,21.363916,0.20367296,0
53272.0,i,22.037834,0.20532072,0
53272.0,z,19.879213,0.19999494,0
53272.0,Y,19.846596,0.19991338,0
53274.0,u,0.9365699,0.14510456,0
53274.0,g,8.189588,0.16825084,0
53274.0,r,23.689482,0.20930418,0
53274.0,i,24.340477,0.21085359,0
53274.0,z,22.971914,0.20758294,0
53274.0,Y,22.353336,0.20608759,0
53276.0,u,0.37200755,0.14314596,0
53276.0,g,9.257008,0.1713936,0
53276.0,r,24.918636,0.21222015,0
53276.0,i,26.706268,0.21639091,0
53276.0,z,25.548447,0.21369886,0
53276.0,Y,24.336245,0.21084355,0
53278.0,u,0.5581388,0.14379463,0
53278.0,g,6.951441,0.16453025,0
53278.0,r,26.029835,0.21482223,0
53278.0,i,28.440039,0.2203606,0
53278.0,z,27.768269,0.21883105,0
53278.0,Y,25.948658,0.21463323,0
53280.0,u,0.52421564,0.14367664,0
53280.0,g,6.0270839999999986,0.16169676,0
53280.0,r,26.514805,0.21594806,0
53280.0,i,30.015512,0.22390683,0
53280.0,z,29.722683,0.22325197,0
53280.0,Y,27.641214,0.21854056,0
53282.0,u,0.52255976,0.14367087,0
53282.0,g,5.3594737,0.15961902,0
53282.0,r,26.055727,0.2148825,0
53282.0,i,30.096891,0.22408849,0
53282.0,z,31.296116,0.2267485,0
53282.0,Y,28.885113,0.22136818,0
53284.0,u,0.5094834,0.14362535,0
53284.0,g,4.849703,0.15801412,0
53284.0,r,23.799185,0.20956609,0
53284.0,i,30.352324,0.2246577,0
53284.0,z,32.309216,0.22897156,0
53284.0,Y,29.0204,0.22167353,0
53286.0,u,0.27814606,0.14281774,0
53286.0,g,4.1887273999999985,0.15590858,0
53286.0,r,22.091112,0.20545042,0
53286.0,i,29.65156,0.22309262,0
53286.0,z,33.74859,0.2320934,0
53286.0,Y,29.453024,0.22264722,0
53288.0,u,0.07789634,0.14211494,0
53288.0,g,3.5350785000000005,0.15379804,0
53288.0,r,19.455109,0.19893183,0
53288.0,i,28.37736,0.22021833,0
53288.0,z,34.747032,0.23423448,0
53288.0,Y,29.961332,0.22378582,0
53290.0,u,0.33106464,0.14300288,0
53290.0,g,2.6203055,0.15079479,0
53290.0,r,17.09001,0.19289576,0
53290.0,i,26.555243,0.21604167,0
53290.0,z,34.59743,0.23391491,0
53290.0,Y,30.04531,0.22397336,0
53292.0,u,-0.037556294,0.14184059999999998,0
53292.0,g,2.179638,0.14932647,0
53292.0,r,14.420682,0.1858479,0
53292.0,i,24.724781,0.21176293,0
53292.0,z,34.430347,0.2335575,0
53292.0,Y,29.095434,0.22184272,0
53294.0,u,0.12107539,0.14226677,0
53294.0,g,1.8644867,0.1482675,0
53294.0,r,12.279903,0.1799963,0
53294.0,i,22.61419,0.20671950000000006,0
53294.0,z,34.37692,0.23344308,0
53294.0,Y,28.437714,0.22035533,0
53296.0,u,0.12749165,0.14228933,0
53296.0,g,1.6820512,0.14765097,0
53296.0,r,10.224698,0.17419374,0
53296.0,i,20.381931,0.20124783,0
53296.0,z,33.050674,0.230585,0
53296.0,Y,27.042076,0.21716546,0
53298.0,u,-0.012065837,0.14184059999999998,0
53298.0,g,1.3717785,0.1465965,0
53298.0,r,8.564297999999999,0.16936073,0
53298.0,i,17.955957,0.19512744,0
53298.0,z,31.299606,0.22675619,0
53298.0,Y,24.901484,0.21217975,0
53300.0,u,0.03692757,0.14197072,0
53300.0,g,1.0036073,0.14533536,0
53300.0,r,7.1346326,0.16508602,0
53300.0,i,15.931474,0.18986899,0
53300.0,z,29.62931,0.22304276,0
53300.0,Y,23.388117,0.20858303,0
53302.0,u,0.03489411,0.14196356,0
53302.0,g,0.758552,0.14448984,0
53302.0,r,5.566777,0.16026707,0
53302.0,i,13.300861,0.18281034,0
53302.0,z,27.193169,0.21751304,0
53302.0,Y,20.87997,0.20248143,0
53304.0,u,0.06580063,0.14207238,0
53304.0,g,0.3407877,0.14303689,0
53304.0,r,4.5222025000000015,0.15697439,0
53304.0,i,11.674984,0.178308,0
53304.0,z,24.732277,0.21178064,0
53304.0,Y,19.77094,0.19972406,0
53306.0,u,-0.2280712,0.14184059999999998,0
53306.0,g,0.67742825,0.14420883,0
53306.0,r,3.7738652,0.15457238,0
53306.0,i,10.026575,0.17362411,0
53306.0,z,22.455564000000006,0.20633547,0
53306.0,Y,18.34881,0.19613151,0
53308.0,u,-0.19047767,0.14184059999999998,0
53308.0,g,0.2995619,0.14289269,0
53308.0,r,3.190335,0.15267316,0
53308.0,i,9.233017,0.17132360000000002,0
53308.0,z,20.192059,0.20077555,0
53308.0,Y,17.074745,0.1928562,0
53310.0,u,-0.11556284,0.14184059999999998,0
53310.0,g,0.114250146,0.14224279,0
53310.0,r,2.393272,0.1500401,0
53310.0,i,8.423202999999999,0.16894366,0
53310.0,z,18.803034,0.19728607,0
53310.0,Y,16.33553,0.19093007,0
53312.0,u,0.124615796,0.14227922,0
53312.0,g,0.34097803,0.14303754,0
53312.0,r,2.1510956,0.14923088,0
53312.0,i,7.9642015,0.16757971,0
53312.0,z,17.162779999999998,0.19308428,0
53312.0,Y,15.391694,0.18844217,0
53314.0,u,-0.054069992,0.14184059999999998,0
53314.0,g,0.44509292,0.14340101,0
53314.0,r,1.9884704,0.14868499999999998,0
53314.0,i,7.2095594,0.16531279999999998,0
53314.0,z,15.675182,0.18919288,0
53314.0,Y,14.013788,0.18474996,0
53316.0,u,-0.061760854,0.14184059999999998,0
53316.0,g,-0.0722705,0.14184059999999998,0
53316.0,r,2.1542366000000004,0.14924139,0
53316.0,i,6.039515,0.16173519,0
53316.0,z,14.597488,0.18632297,0
53316.0,Y,12.966026,0.18189225,0
53318.0,u,0.07976007,0.14212149999999998,0
53318.0,g,0.1498866,0.14236799,0
53318.0,r,2.1516244,0.14923266,0
53318.0,i,6.079055,0.16185739999999998,0
53318.0,z,13.99922,0.18471053,0
53318.0,Y,11.811549,0.17869054,0
53320.0,u,0.18739459,0.14249967,0
53320.0,g,0.33570254,0.1430191,0
53320.0,r,1.7588849999999998,0.14791094,0
53320.0,i,5.1188392999999985,0.15886347,0
53320.0,z,13.483085,0.18330806,0
53320.0,Y,11.523922,0.17788389999999998,0
53322.0,u,0.10557719,0.1422123,0
53322.0,g,0.31254616,0.1429381,0
53322.0,r,1.8482622,0.14821276,0
53322.0,i,4.7056510000000005,0.15755765,0
53322.0,z,12.902334,0.18171707,0
53322.0,Y,11.1409235,0.17680408,0
53324.0,u,-0.002914774,0.14184059999999998,0
53324.0,g,0.5357462,0.14371675,0
53324.0,r,1.604318,0.14738752,0
53324.0,i,4.479503,0.15683833,0
53324.0,z,11.75983,0.17854576,0
53324.0,Y,9.976325,0.17347935,0
53326.0,u,-0.05791899,0.14184059999999998,0
53326.0,g,0.17735125,0.14246441,0
53326.0,r,1.4049642,0.14670965,0
53326.0,i,4.2053843,0.15596199,0
53326.0,z,11.299163,0.17725101,0
53326.0,Y,10.312868,0.17444663,0
53328.0,u,-0.19687292,0.14184059999999998,0
53328.0,g,-0.05546239,0.14184059999999998,0
53328.0,r,1.7809802,0.1479856,0
53328.0,i,3.9210048,0.15504763,0
53328.0,z,10.544593,0.17510954,0
53328.0,Y,9.61537,0.17243586,0
53330.0,u,0.0027919018,0.14185044,0
53330.0,g,0.37784532,0.14316635,0
53330.0,r,1.7401258000000002,0.1478475,0
53330.0,i,3.8917723,0.15495333,0
53330.0,z,10.265141,0.17430979,0
53330.0,Y,9.540861,0.17221968,0
53332.0,u,-0.0924817,0.14184059999999998,0
53332.0,g,0.39187714,0.14321534,0
53332.0,r,1.4329188999999998,0.1468049,0
53332.0,i,4.047401,0.1554547,0
53332.0,z,9.725715,0.17275554,0
53332.0,Y,8.800094,0.17005543,0
53334.0,u,0.22988099,0.14264867,0
53334.0,g,0.5349285,0.14371389999999998,0
53334.0,r,1.5973166,0.14736375,0
53334.0,i,4.2274885,0.15603283,0
53334.0,z,9.261539,0.17140682,0
53334.0,Y,9.187211,0.17118986,0
53336.0,u,-0.28626397,0.14184059999999998,0
53336.0,g,0.26118112,0.14275832,0
53336.0,r,1.2604057,0.14621615,0
53336.0,i,3.934468,0.15509103,0
53336.0,z,8.649052000000001,0.16961077,0
53336.0,Y,8.368654,0.16878214,0
53338.0,u,0.18724544,0.14249915,0
53338.0,g,0.33742023,0.1430251,0
53338.0,r,1.1548815,0.14585486,0
53338.0,i,4.2907720000000005,0.1562355,0
53338.0,z,7.9712996,0.16760089,0
53338.0,Y,8.426699000000001,0.16895401,0
53340.0,u,-0.004461452,0.14184059999999998,0
53340.0,g,0.23639445,0.14267149999999998,0
53340.0,r,1.2699771,0.14624889,0
53340.0,i,3.8980043,0.15497343,0
53340.0,z,7.922158,0.16745423,0
53340.0,Y,8.176955,0.16821331,0
53342.0,u,0.0112041375,0.1418801,0
53342.0,g,0.25037289999999995,0.14272048,0
53342.0,r,1.0872829,0.14562294,0
53342.0,i,3.6392858,0.15413645,0
53342.0,z,7.324264,0.16565937,0
53342.0,Y,7.9211144,0.16745111,0
53344.0,u,0.083887614,0.14213602,0
53344.0,g,-0.12412645,0.14184059999999998,0
53344.0,r,0.8707560999999999,0.1448776,0
53344.0,i,3.884552,0.15493003,0
53344.0,z,7.497678,0.16618195,0
53344.0,Y,7.6867356,0.16674979999999998,0
53346.0,u,0.16990922,0.14243829,0
53346.0,g,0.18657249,0.14249678,0
53346.0,r,1.0525376,0.1455036,0
53346.0,i,3.777957,0.15458563,0
53346.0,z,6.865125,0.16426772,0
53346.0,Y,7.8830399999999985,0.16733739,0
53348.0,u,-0.1885288,0.14184059999999998,0
53348.0,g,0.23244947,0.14265767,0
53348.0,r,0.9384318,0.14511096,0
53348.0,i,3.9072542,0.15500326,0
53348.0,z,6.6825676,0.1637111,0
53348.0,Y,7.43163,0.16598311,0
53350.0,u,0.017020693,0.14190060000000002,0
53350.0,g,-0.04986625,0.14184059999999998,0
53350.0,r,0.98080575,0.14525689,0
53350.0,i,3.7724948,0.15456796,0
53350.0,z,6.5272956,0.16323619,0
53350.0,Y,7.2405677,0.16540655,0
53352.0,u,0.037259806,0.14197189,0
53352.0,g,0.12360516,0.14227566,0
53352.0,r,0.8603742,0.14484175,0
53352.0,i,3.8269513,0.15474401,0
53352.0,z,6.3964415,0.16283488,0
53352.0,Y,7.245246400000001,0.1654207,0
53354.0,u,0.09996232,0.14219256,0
53354.0,g,0.17019843,0.14243932,0
53354.0,r,0.7641256,0.14450912,0
53354.0,i,3.6204107,0.15407520000000002,0
53354.0,z,6.178132,0.16216317,0
53354.0,Y,6.8178606,0.16412379,0
53356.0,u,-0.08257033,0.14184059999999998,0
53356.0,g,0.16271576,0.14241304,0
53356.0,r,0.6358488,0.14406459,0
53356.0,i,3.5106313,0.15371853,0
53356.0,z,5.7980886,0.16098711,0
53356.0,Y,6.4284835,0.16293325,0
53358.0,u,-0.052113123,0.14184059999999998,0
53358.0,g,-0.08179396,0.14184059999999998,0
53358.0,r,0.87268835,0.14488426,0
53358.0,i,3.218205,0.15276441,0
53358.0,z,5.8358946,0.16110447,0
53358.0,Y,6.1282396,0.16200927,0
53360.0,u,-0.11021424,0.14184059999999998,0
53360.0,g,-0.11963297,0.14184059999999998,0
53360.0,r,0.89589477,0.14496432,0
53360.0,i,3.3907182,0.153328,0
53360.0,z,5.4977264,0.16005151,0
53360.0,Y,6.0629870000000015,0.16180775,0
53362.0,u,0.16078936,0.14240628,0
53362.0,g,0.13741837,0.14232421,0
53362.0,r,0.9770161,0.14524385,0
53362.0,i,3.2232556,0.15278095,0
53362.0,z,5.4053574,0.1597627,0
53362.0,Y,5.881395,0.16124563,0
53364.0,u,-0.24172105,0.14184059999999998,0
53364.0,g,0.23085743,0.14265208,0
53364.0,r,0.7071569999999999,0.14431188,0
53364.0,i,3.184839,0.15265517,0
53364.0,z,5.429654,0.15983872,0
53364.0,Y,5.785923,0.1609493,0
53366.0,u,-0.026655452000000003,0.14184059999999998,0
53366.0,g,0.08836623,0.14215176,0
53366.0,r,0.64399076,0.14409284,0
53366.0,i,3.186074,0.15265921,0
53366.0,z,4.80724,0.1578797,0
53366.0,Y,5.6190742999999985,0.16043015,0
53368.0,u,-0.1829725,0.14184059999999998,0
53368.0,g,0.2073931,0.14256981,0
53368.0,r,0.9881312,0.14528210000000005,0
53368.0,i,3.198068,0.15269849,0
53368.0,z,4.959857,0.15836228,0
53368.0,Y,4.785561,0.15781103,0
53370.0,u,0.07756029,0.14211376,0
53370.0,g,-0.04791732,0.14184059999999998,0
53370.0,r,0.5746479999999999,0.14385204,0
53370.0,i,2.9022183,0.15172665,0
53370.0,z,4.847368,0.15800673,0
53370.0,Y,4.853491,0.15802611,0
53372.0,u,0.086617485,0.14214562,0
53372.0,g,0.07786817,0.14211483,0
53372.0,r,0.6929055000000001,0.14426248,0
53372.0,i,2.850167,0.15155502,0
53372.0,z,4.497318,0.15689512,0
53372.0,Y,4.849496,0.15801348,0
53374.0,u,0.10158886,0.14219828,0
53374.0,g,0.21309713,0.14258981,0
53374.0,r,0.6122672,0.14398272,0
53374.0,i,2.2616415,0.14960079999999998,0
53374.0,z,4.23358,0.15605237,0
53374.0,Y,4.5417724,0.15703672,0
53376.0,u,0.030218707,0.14194709,0
53376.0,g,0.029492177,0.14194453,0
53376.0,r,0.6285528,0.14403927,0
53376.0,i,2.311946,0.14976884,0
53376.0,z,4.206445,0.15596539,0
53376.0,Y,4.286093,0.15622053,0
53378.0,u,0.013027402,0.14188652,0
53378.0,g,0.018046089,0.1419042,0
53378.0,r,0.46680433,0.1434767,0
53378.0,i,2.2990808,0.14972587,0
53378.0,z,4.2069254,0.15596694,0
53378.0,Y,4.2069125,0.1559669,0
