mjd,band,flux,fluxerr,detected_bool
53378.0,u,-0.09984683,0.14184059999999998,0
53378.0,g,0.12618709,0.14228475,0
53378.0,r,0.057637375,0.14204364,0
53378.0,i,0.11732412,0.1422536,0
53378.0,z,0.078574255,0.14211732,0
53378.0,Y,0.10896209,0.14222420000000002,0
53380.0,u,0.017347459,0.14190175,0
53380.0,g,-0.14772817,0.14184059999999998,0
53380.0,r,-0.11582714,0.14184059999999998,0
53380.0,i,-0.11698197,0.14184059999999998,0
53380.0,z,-0.039451823,0.14184059999999998,0
53380.0,Y,0.24911718,0.14271607,0
53382.0,u,-0.1398708,0.14184059999999998,0
53382.0,g,-0.0035329529,0.14184059999999998,0
53382.0,r,0.16214441,0.14241104,0
53382.0,i,0.014038235,0.14189010000000002,0
53382.0,z,-0.17449717,0.14184059999999998,0
53382.0,Y,-0.08342643,0.14184059999999998,0
53384.0,u,0.008221082,0.14186959,0
53384.0,g,0.012846089,0.14188589,0
53384.0,r,0.23683505,0.14267303,0
53384.0,i,0.18015102,0.14247425,0
53384.0,z,-0.055398297,0.14184059999999998,0
53384.0,Y,-0.33200290000000005,0.14184059999999998,0
53386.0,u,0.14299063,0.14234377,0
53386.0,g,-0.06305648,0.14184059999999998,0
53386.0,r,-0.03906964,0.14184059999999998,0
53386.0,i,-0.105965436,0.14184059999999998,0
53386.0,z,-0.03798568,0.14184059999999998,0
53386.0,Y,0.03378512,0.14195965,0
53388.0,u,-0.024308925,0.14184059999999998,0
53388.0,g,0.007237008,0.14186612,0
53388.0,r,0.23634598,0.14267133,0
53388.0,i,-0.015070388,0.14184059999999998,0
53388.0,z,-0.041783627,0.14184059999999998,0
53388.0,Y,0.118948594,0.14225929999999998,0
53390.0,u,0.15572712,0.14238851,0
53390.0,g,-0.07673194,0.14184059999999998,0
53390.0,r,0.15198664,0.14237536,0
53390.0,i,-0.09944079,0.14184059999999998,0
53390.0,z,0.25800145,0.14274720000000002,0
53390.0,Y,-0.27833053,0.14184059999999998,0
53392.0,u,0.11658648,0.14225098,0
53392.0,g,-0.05210015,0.14184059999999998,0
53392.0,r,-0.18148695,0.14184059999999998,0
53392.0,i,-0.18969409,0.14184059999999998,0
53392.0,z,-0.03062446,0.14184059999999998,0
53392.0,Y,0.11377089,0.1422411,0
53394.0,u,0.14929892,0.14236593,0
53394.0,g,-0.02170834,0.14184059999999998,0
53394.0,r,-0.0029195806,0.14184059999999998,0
53394.0,i,-0.0037925025,0.14184059999999998,0
53394.0,z,-0.13884681,0.14184059999999998,0
53394.0,Y,-0.08316357,0.14184059999999998,0
53396.0,u,-0.004491832,0.14184059999999998,0
53396.0,g,-0.11844485,0.14184059999999998,0
53396.0,r,0.1974907,0.14253508,0
53396.0,i,-0.15001386,0.14184059999999998,0
53396.0,z,0.15241244,0.14237686,0
53396.0,Y,-0.007613173000000002,0.14184059999999998,0
53398.0,u,-0.07384616,0.14184059999999998,0
53398.0,g,-0.20976688,0.14184059999999998,0
53398.0,r,-0.03592686,0.14184059999999998,0
53398.0,i,0.1883953,0.14250317,0
53398.0,z,-0.009121991,0.14184059999999998,0
53398.0,Y,0.017257182,0.14190143,0
53400.0,u,-0.08421783,0.14184059999999998,0
53400.0,g,0.21488452,0.14259608,0
53400.0,r,0.14559238,0.14235291,0
53400.0,i,0.044693433,0.14199808,0
53400.0,z,0.0631395,0.14206300000000002,0
53400.0,Y,0.115320265,0.14224654,0
53410.0,u,-0.09086829,0.14184059999999998,0
53410.0,g,-0.041004423,0.14184059999999998,0
53410.0,r,-0.085315555,0.14184059999999998,0
53410.0,i,0.037040275,0.14197111,0
53410.0,z,-0.08532209,0.14184059999999998,0
53410.0,Y,-0.20081817,0.14184059999999998,0
53420.0,u,1.126163,0.14575638,0
53420.0,g,8.261994999999999,0.16846588,0
53420.0,r,19.096653,0.1980288,0
53420.0,i,29.19452,0.22206594,0
53420.0,z,33.844390000000004,0.23229970000000005,0
53420.0,Y,31.348553000000006,0.22686407,0
53430.0,u,1.6506313,0.14754453,0
53430.0,g,13.988581,0.18468173,0
53430.0,r,48.662376,0.26226157,0
53430.0,i,83.20713,0.32144344,0
53430.0,z,101.13026,0.3482083,0
53430.0,Y,93.85776,0.3376041,0
53440.0,u,0.48119056,0.14352682,0
53440.0,g,4.878532,0.15810531,0
53440.0,r,22.595009,0.20667310000000005,0
53440.0,i,61.912117,0.28641033,0
53440.0,z,88.38005,0.32939157,0
53440.0,Y,78.49015,0.31402054,0
53450.0,u,0.35255727,0.143078,0
53450.0,g,2.5450196,0.15054494,0
53450.0,r,11.4979515,0.17781088,0
53450.0,i,34.127777,0.23290886,0
53450.0,z,51.019077,0.26671678,0
53450.0,Y,49.04348,0.26298717,0
53460.0,u,0.0802169,0.1421231,0
53460.0,g,1.6456671000000005,0.14752771,0
53460.0,r,6.6176825,0.16351281,0
53460.0,i,20.532228,0.20162089,0
53460.0,z,30.038563,0.2239583,0
53460.0,Y,29.409897,0.22255033,0
53470.0,u,0.38210526,0.14318123,0
53470.0,g,1.3129007,0.14639555,0
53470.0,r,4.7556977,0.15771638,0
53470.0,i,13.27041,0.18272704,0
53470.0,z,18.75192,0.19715647,0
53470.0,Y,17.284785999999997,0.19339997,0
53480.0,u,0.25901267,0.14275073,0
53480.0,g,0.7863368000000001,0.14458595,0
53480.0,r,3.6948783,0.15431668,0
53480.0,i,10.26442,0.1743077,0
53480.0,z,12.598195,0.18087828,0
53480.0,Y,11.605069,0.17811185,0
