mjd,band,flux,fluxerr,detected_bool
53042.0,u,-0.01207661,0.14184059999999998,0
53042.0,g,-0.07123659,0.14184059999999998,0
53042.0,r,0.030225676,0.14194712,0
53042.0,i,-0.0006750416999999999,0.14184059999999998,0
53042.0,z,0.3701292,0.1431394,0
53042.0,Y,0.10703169,0.14221741,0
53044.0,u,0.12943034,0.14229612,0
53044.0,g,-0.26393452,0.14184059999999998,0
53044.0,r,0.22650354,0.14263682,0
53044.0,i,0.08259401,0.14213146,0
53044.0,z,-0.09836966,0.14184059999999998,0
53044.0,Y,-0.03304556,0.14184059999999998,0
53046.0,u,-0.031741004,0.14184059999999998,0
53046.0,g,0.047379665,0.14200754,0
53046.0,r,0.18596636,0.14249465,0
53046.0,i,0.06353366,0.1420644,0
53046.0,z,-0.009373827,0.14184059999999998,0
53046.0,Y,-0.13398613,0.14184059999999998,0
53048.0,u,-0.08009945,0.14184059999999998,0
53048.0,g,0.013972943,0.14188986,0
53048.0,r,0.119034134,0.1422596,0
53048.0,i,0.02290075,0.14192131,0
53048.0,z,-0.19933675,0.14184059999999998,0
53048.0,Y,-0.2195415,0.14184059999999998,0
53050.0,u,0.010614931,0.14187802,0
53050.0,g,0.025868427000000003,0.14193177,0
53050.0,r,-0.08352636,0.14184059999999998,0
53050.0,i,-0.14671181,0.14184059999999998,0
53050.0,z,-0.07509073599999999,0.14184059999999998,0
53050.0,Y,-0.08119656,0.14184059999999998,0
53052.0,u,-0.32838264,0.14184059999999998,0
53052.0,g,-0.18820055,0.14184059999999998,0
53052.0,r,-0.0056040226,0.14184059999999998,0
53052.0,i,0.05273989,0.1420264,0
53052.0,z,0.072104655,0.14209455,0
53052.0,Y,0.35984424,0.14310347,0
53054.0,u,0.31205770000000005,0.14293642,0
53054.0,g,0.08360329,0.14213501,0
53054.0,r,-0.060727,0.14184059999999998,0
53054.0,i,0.02225391,0.14191903,0
53054.0,z,0.2414962,0.14268936,0
53054.0,Y,-0.12918952,0.14184059999999998,0
53056.0,u,-0.21228110000000006,0.14184059999999998,0
53056.0,g,0.034954224,0.14196378,0
53056.0,r,0.047752,0.14200886,0
53056.0,i,-0.025957795,0.14184059999999998,0
53056.0,z,-0.26356152,0.14184059999999998,0
53056.0,Y,0.15804425,0.14239664,0
53058.0,u,0.090179265,0.14215814,0
53058.0,g,0.0609876,0.14205544,0
53058.0,r,0.081425555,0.14212735,0
53058.0,i,0.07019037,0.14208783,0
53058.0,z,0.10021382,0.14219344,0
53058.0,Y,-0.039916538,0.14184059999999998,0
53060.0,u,0.08935653,0.14215526,0
53060.0,g,0.13254824,0.14230709,0
53060.0,r,0.1979106,0.14253657,0
53060.0,i,-0.09985543,0.14184059999999998,0
53060.0,z,-0.1291817,0.14184059999999998,0
53060.0,Y,0.12786785,0.14229065,0
53062.0,u,-0.07052455,0.14184059999999998,0
53062.0,g,-0.051522635,0.14184059999999998,0
53062.0,r,0.24098094,0.14268756,0
53062.0,i,-0.05580655,0.14184059999999998,0
53062.0,z,0.066141725,0.14207357,0
53062.0,Y,0.0004515183,0.14184222,0
53064.0,u,-0.112590365,0.14184059999999998,0
53064.0,g,-0.123733476,0.14184059999999998,0
53064.0,r,-0.3182268,0.14184059999999998,0
53064.0,i,0.25755203,0.14274561,0
53064.0,z,0.15086898,0.14237145,0
53064.0,Y,-0.09531275,0.14184059999999998,0
53066.0,u,-0.3196992,0.14184059999999998,0
53066.0,g,-0.07565407,0.14184059999999998,0
53066.0,r,0.080326244,0.14212349,0
53066.0,i,-0.20456335,0.14184059999999998,0
53066.0,z,0.0073469547,0.14186652,0
53066.0,Y,-0.0011050331,0.14184059999999998,0
53068.0,u,0.9533952,0.14516251,0
53068.0,g,0.4692795,0.14348532,0
53068.0,r,0.23423879,0.14266394,0
53068.0,i,0.106383055,0.14221513,0
53068.0,z,2.1917417,0.149367,0
53068.0,Y,2.0435815,0.14887021,0
53070.0,u,12.0231695,0.17928171,0
53070.0,g,13.373077,0.18300775,0
53070.0,r,8.895954,0.17033707,0
53070.0,i,6.8098554999999985,0.16409941,0
53070.0,z,19.61127,0.19932392,0
53070.0,Y,23.10555,0.20790458,0
53072.0,u,47.321175,0.25969198,0
53072.0,g,53.70196,0.27169967,0
53072.0,r,41.03591,0.24729471,0
53072.0,i,38.643234,0.24240874,0
53072.0,z,42.5812,0.2503996,0
53072.0,Y,40.149815,0.2454966,0
53074.0,u,96.53538,0.34154668,0
53074.0,g,116.28331,0.3693265,0
53074.0,r,96.67668,0.34175348,0
53074.0,i,85.99198,0.32574642,0
53074.0,z,82.083916,0.31969154,0
53074.0,Y,65.20877,0.29210877,0
53076.0,u,133.6503,0.39213398,0
53076.0,g,171.29974,0.437514,0
53076.0,r,152.6349,0.41563645,0
53076.0,i,124.39906,0.380155,0
53076.0,z,123.826454,0.37940112,0
53076.0,Y,94.02471,0.33785126,0
53078.0,u,147.2411,0.40909642,0
53078.0,g,225.62306,0.49572355,0
53078.0,r,205.94708,0.4754638,0
53078.0,i,166.67996000000005,0.4322022,0
53078.0,z,164.83978000000005,0.43006805,0
53078.0,Y,122.77132,0.37800807,0
53080.0,u,153.56851,0.41675806,0
53080.0,g,269.91028,0.53854346,0
53080.0,r,260.34793,0.5295911,0
53080.0,i,208.61194,0.47825798,0
53080.0,z,201.78525,0.47106686,0
53080.0,Y,149.33772,0.4116509,0
53082.0,u,137.69556,0.39725852,0
53082.0,g,293.88525,0.5603606,0
53082.0,r,298.09848,0.5641075,0
53082.0,i,238.58286,0.5086272,0
53082.0,z,230.04669,0.5001654000000001,0
53082.0,Y,173.20318999999995,0.43968394,0
53084.0,u,120.63342,0.37516952,0
53084.0,g,294.0478,0.5605055999999999,0
53084.0,r,319.6945,0.58293504,0
53084.0,i,260.71405,0.5299366999999999,0
53084.0,z,244.93948,0.5148381,0
53084.0,Y,190.09253,0.45848805,0
53086.0,u,101.8943,0.34930370000000005,0
53086.0,g,276.2713,0.5444171999999999,0
53086.0,r,331.91302,0.5933227,0
53086.0,i,276.46353,0.5445937,0
53086.0,z,255.38417,0.52488375,0
53086.0,Y,202.48837,0.4718126,0
53088.0,u,78.47400999999998,0.31399485,0
53088.0,g,242.34755,0.5123146,0
53088.0,r,326.96832,0.589141,0
53088.0,i,282.95947,0.55052537,0
53088.0,z,257.85828,0.52723527,0
53088.0,Y,213.76158,0.48361176,0
53090.0,u,56.212524,0.27628115,0
53090.0,g,200.35208,0.46954322,0
53090.0,r,297.1392,0.5632566,0
53090.0,i,260.53342000000004,0.52976614,0
53090.0,z,247.3409,0.517165,0
53090.0,Y,215.57907000000003,0.48548722,0
53092.0,u,38.85858,0.24285251,0
53092.0,g,156.98311,0.42083472,0
53092.0,r,251.13632,0.5208215,0
53092.0,i,219.8993,0.48991638,0
53092.0,z,225.28564,0.49538308,0
53092.0,Y,213.79411,0.48364538,0
53094.0,u,26.088764,0.21495935,0
53094.0,g,119.802444,0.37406042,0
53094.0,r,204.59854,0.47404358,0
53094.0,i,178.17453,0.44530132,0
53094.0,z,200.19186,0.4693726,0
53094.0,Y,209.1729,0.47884408,0
53096.0,u,17.408903,0.19372058,0
53096.0,g,91.43192,0.33399203,0
53096.0,r,166.09333999999996,0.43152303,0
53096.0,i,147.5379,0.409459,0
53096.0,z,180.31732,0.4477009,0
53096.0,Y,205.81375,0.4753236,0
53098.0,u,12.185137,0.17973284,0
53098.0,g,70.59407,0.3011857,0
53098.0,r,140.11684,0.40029436,0
53098.0,i,130.29442,0.38783136,0
53098.0,z,165.81503,0.4312004,0
