mjd,band,flux,fluxerr,detected_bool
53000.0,u,0.086595125,0.14214554,0
53000.0,g,-0.06220842,0.14184059999999998,0
53000.0,r,-0.082716085,0.14184059999999998,0
53000.0,i,-0.13876802,0.14184059999999998,0
53000.0,z,0.073286235,0.14209872,0
53000.0,Y,-0.06398569,0.14184059999999998,0
53002.0,u,0.2200938,0.14261435,0
53002.0,g,-0.0718926,0.14184059999999998,0
53002.0,r,0.13590841,0.14231889,0
53002.0,i,-0.03206013,0.14184059999999998,0
53002.0,z,0.22475374,0.1426307,0
53002.0,Y,-0.066821635,0.14184059999999998,0
53004.0,u,-0.12478555,0.14184059999999998,0
53004.0,g,0.038371168,0.14197582,0
53004.0,r,0.075167604,0.14210533,0
53004.0,i,-0.33600578,0.14184059999999998,0
53004.0,z,-0.067465015,0.14184059999999998,0
53004.0,Y,-0.053900257,0.14184059999999998,0
53006.0,u,0.19765358,0.14253566,0
53006.0,g,-0.16510233,0.14184059999999998,0
53006.0,r,-0.07908945,0.14184059999999998,0
53006.0,i,-0.13693652,0.14184059999999998,0
53006.0,z,-0.30968487,0.14184059999999998,0
53006.0,Y,-0.20867965,0.14184059999999998,0
53008.0,u,-0.10878271,0.14184059999999998,0
53008.0,g,0.24911,0.14271605,0
53008.0,r,-0.07695286,0.14184059999999998,0
53008.0,i,-0.048716836,0.14184059999999998,0
53008.0,z,0.115727656,0.14224797,0
53008.0,Y,0.21669994,0.14260244,0
53010.0,u,0.08388826,0.14213602,0
53010.0,g,-0.03861937,0.14184059999999998,0
53010.0,r,0.1217059,0.14226899,0
53010.0,i,0.01014316,0.14187635,0
53010.0,z,0.16427958,0.14241853,0
53010.0,Y,-0.0025180117,0.14184059999999998,0
53012.0,u,-0.29702938,0.14184059999999998,0
53012.0,g,-0.02536844,0.14184059999999998,0
53012.0,r,0.09388582,0.14217119,0
53012.0,i,0.0051946524,0.14185892,0
53012.0,z,-0.16203038,0.14184059999999998,0
53012.0,Y,-0.08702159,0.14184059999999998,0
53014.0,u,-0.24223244,0.14184059999999998,0
53014.0,g,0.20959398,0.14257753,0
53014.0,r,0.06520849,0.1420703,0
53014.0,i,0.120630346,0.14226522,0
53014.0,z,-0.21901836,0.14184059999999998,0
53014.0,Y,0.27345738,0.14280131,0
53016.0,u,0.9461538,0.14513758,0
53016.0,g,2.4323785,0.15017037,0
53016.0,r,0.8296865,0.14473578,0
53016.0,i,1.048687,0.14549038,0
53016.0,z,0.7828725000000001,0.14457396,0
53016.0,Y,1.0064862,0.14534526,0
53018.0,u,2.1937475,0.14937373,0
53018.0,g,6.4989300000000005,0.1631493,0
53018.0,r,2.88918,0.15168369,0
53018.0,i,4.3415422,0.15639791,0
53018.0,z,3.9028902,0.1549892,0
53018.0,Y,2.6973026,0.15104987,0
53020.0,u,3.0140347000000003,0.15209468,0
53020.0,g,11.7192335,0.17843203,0
53020.0,r,8.67322,0.169682,0
53020.0,i,9.317698,0.17157055,0
53020.0,z,8.952641999999997,0.17050338,0
53020.0,Y,6.762115,0.16395387,0
53022.0,u,3.9292388,0.15507418,0
53022.0,g,18.287716,0.1959757,0
53022.0,r,16.404995,0.19111189,0
53022.0,i,14.994701999999998,0.18738586,0
53022.0,z,14.323989,0.18558757,0
53022.0,Y,11.732395,0.17846891,0
53024.0,u,6.513872,0.16319507,0
53024.0,g,22.684536,0.20688957,0
53024.0,r,23.228859,0.20820092,0
53024.0,i,21.38613,0.2037275,0
53024.0,z,18.882113,0.19748639,0
53024.0,Y,16.651691,0.19175622,0
53026.0,u,10.440625,0.17481242,0
53026.0,g,26.838766,0.21669686,0
53026.0,r,29.606756,0.22299218,0
53026.0,i,27.284367,0.2177226,0
53026.0,z,22.168509,0.20563869,0
53026.0,Y,20.867865,0.20245154,0
53028.0,u,9.476494,0.17203271,0
53028.0,g,31.642181,0.22751032,0
53028.0,r,35.056087,0.23489326,0
53028.0,i,32.208003999999995,0.22875044,0
53028.0,z,28.31209,0.2200701,0
53028.0,Y,24.986292,0.2123795,0
53030.0,u,8.397362,0.16886717,0
53030.0,g,34.56414,0.23384374,0
53030.0,r,41.27267,0.24777293,0
53030.0,i,38.95311,0.24304706,0
53030.0,z,32.348667,0.22905770000000006,0
53030.0,Y,29.794828000000006,0.22341348,0
53032.0,u,8.499333,0.16916883,0
53032.0,g,36.586205,0.23812804,0
53032.0,r,45.904877,0.25695065,0
53032.0,i,43.811974,0.2528453,0
53032.0,z,37.415695,0.23986341,0
53032.0,Y,33.70845,0.23200691,0
53034.0,u,5.8552256,0.16116446,0
53034.0,g,36.586395,0.23812844,0
53034.0,r,49.29666,0.26346806,0
53034.0,i,47.29313300000001,0.25963800000000004,0
53034.0,z,40.739635,0.24669495,0
53034.0,Y,36.438976,0.23781869,0
53036.0,u,4.967113,0.1583852,0
53036.0,g,34.864426,0.23448494,0
53036.0,r,50.6191,0.26596588,0
53036.0,i,50.362858,0.26548374,0
53036.0,z,43.72359,0.25267044,0
53036.0,Y,38.80231,0.24273664,0
53038.0,u,4.4160295,0.15663585,0
53038.0,g,32.399708000000004,0.22916909,0
53038.0,r,50.42905800000001,0.2656084,0
53038.0,i,52.04508,0.26863328,0
53038.0,z,45.185387,0.25554678,0
53038.0,Y,40.946117,0.24711308,0
53040.0,u,3.6303675,0.15410751,0
53040.0,g,28.332989,0.22011758,0
53040.0,r,49.152287,0.26319394,0
53040.0,i,53.33850500000001,0.27103,0
53040.0,z,47.516037,0.2600669,0
53040.0,Y,42.50623,0.25024983,0
53042.0,u,2.303188,0.1497396,0
53042.0,g,23.087479,0.2078611,0
53042.0,r,45.381546,0.25593027,0
53042.0,i,51.184704,0.2670271,0
53042.0,z,46.956993,0.25898987,0
53042.0,Y,42.419926,0.25007737,0
53044.0,u,1.6292351,0.14747201,0
53044.0,g,18.595407,0.19675915,0
53044.0,r,40.178623,0.24555527,0
53044.0,i,46.979782,0.25903386,0
53044.0,z,42.460396,0.25015825,0
53044.0,Y,40.202274,0.24560341,0
53046.0,u,1.6195989,0.14743933,0
53046.0,g,14.251972,0.18539345,0
53046.0,r,34.29963,0.2332775,0
53046.0,i,40.032528000000006,0.2452576,0
53046.0,z,36.26861,0.23746026,0
53046.0,Y,36.41757,0.23777369,0
53048.0,u,0.9390764,0.14511319,0
53048.0,g,10.795346,0.17582408,0
53048.0,r,28.27235,0.2199798,0
53048.0,i,33.714104,0.23201910000000006,0
53048.0,z,28.76146,0.22108870000000005,0
53048.0,Y,31.467718,0.22712657,0
53050.0,u,0.6910253000000001,0.14425597,0
53050.0,g,7.621326,0.16655356,0
53050.0,r,22.830446,0.2072419,0
53050.0,i,28.083956,0.21955116,0
53050.0,z,23.174208,0.20806962,0
53050.0,Y,26.908405,0.21685748,0
53052.0,u,0.21155837,0.14258443,0
53052.0,g,5.812401,0.16103156,0
53052.0,r,18.519972,0.19656737,0
53052.0,i,23.8071,0.20958497,0
53052.0,z,19.619183,0.19934379,0
53052.0,Y,23.983244,0.21000478,0
53054.0,u,0.24519376,0.14270231,0
53054.0,g,4.5244436,0.15698154,0
53054.0,r,15.319517,0.18825057,0
53054.0,i,21.285141,0.20347948,0
53054.0,z,18.000156,0.19524066,0
53054.0,Y,22.650564000000006,0.20680745,0
53056.0,u,0.095859535,0.14217813,0
53056.0,g,3.3906481,0.15332778,0
53056.0,r,13.392479000000002,0.18306075,0
53056.0,i,19.176802,0.19823109,0
53056.0,z,17.348913,0.1935657,0
53056.0,Y,21.566889,0.20417064,0
53058.0,u,-0.19823463,0.14184059999999998,0
53058.0,g,2.9119399,0.15175869,0
53058.0,r,11.886559,0.17890029999999998,0
53058.0,i,17.965483,0.19515184,0
53058.0,z,17.326876000000002,0.19350874,0
53058.0,Y,21.232635,0.20335042,0
53060.0,u,0.12087763,0.14226608,0
53060.0,g,2.130687,0.14916249,0
53060.0,r,11.26398,0.17715174,0
53060.0,i,17.04928,0.19279015,0
53060.0,z,18.025625,0.19530588,0
53060.0,Y,21.252422,0.20339906,0
53062.0,u,-0.023859452000000003,0.14184059999999998,0
53062.0,g,1.6441963,0.14752273,0
53062.0,r,10.230075,0.17420916,0
53062.0,i,16.52275,0.19141972,0
53062.0,z,18.061085,0.19539663,0
53062.0,Y,21.026905,0.20284395,0
53064.0,u,0.045887817,0.14200227,0
53064.0,g,2.2068825,0.14941768,0
53064.0,r,9.216123,0.17127429,0
53064.0,i,16.043663000000002,0.1901642,0
53064.0,z,18.138502,0.19559464,0
53064.0,Y,21.185848,0.20323536,0
53066.0,u,-0.008796009,0.14184059999999998,0
53066.0,g,2.1335046,0.14917192,0
53066.0,r,8.260161,0.16846043,0
53066.0,i,16.533659,0.19144821,0
53066.0,z,16.880684,0.19235238,0
53066.0,Y,20.911705,0.20255978,0
53068.0,u,-0.0742961,0.14184059999999998,0
53068.0,g,2.0935032,0.1490378,0
53068.0,r,7.600878,0.16649216,0
53068.0,i,16.22192,0.19063231,0
53068.0,z,16.479298,0.19130619,0
53068.0,Y,20.57119,0.2017175,0
53070.0,u,0.19531259,0.14252743,0
53070.0,g,2.234645,0.14951055,0
53070.0,r,7.373349,0.16580746,0
53070.0,i,15.831276999999998,0.18960495,0
53070.0,z,15.847081,0.18964662,0
53070.0,Y,20.35744,0.20118698,0
53072.0,u,0.09005803,0.14215772,0
53072.0,g,2.1198244,0.14912607,0
53072.0,r,6.7855906,0.16402546,0
53072.0,i,15.3464,0.18832196,0
53072.0,z,15.919471,0.18983737,0
53072.0,Y,19.799618,0.19979584,0
53074.0,u,-0.04156657,0.14184059999999998,0
53074.0,g,1.810928,0.14808676,0
53074.0,r,6.765739999999999,0.16396494,0
53074.0,i,14.821522,0.1869232,0
53074.0,z,16.670008,0.19180399,0
53074.0,Y,19.264029,0.19845097,0
53076.0,u,0.23840189,0.14267853,0
53076.0,g,1.937433,0.14851327,0
53076.0,r,6.4937816,0.16313352,0
53076.0,i,14.657412,0.18648371,0
53076.0,z,16.810589,0.1921701,0
53076.0,Y,19.063314,0.19794463,0
53078.0,u,-0.026799316,0.14184059999999998,0
53078.0,g,1.6749061,0.14762679,0
53078.0,r,6.2833260000000015,0.16248718,0
53078.0,i,13.709626,0.18392494,0
53078.0,z,16.837751,0.19224077,0
53078.0,Y,18.36825,0.19618106,0
53080.0,u,0.32222793,0.14297198,0
53080.0,g,1.43173,0.14680085,0
53080.0,r,6.777514,0.16400084,0
53080.0,i,13.355565,0.1829599,0
53080.0,z,16.912111,0.19243407,0
53080.0,Y,17.963463,0.19514666,0
53082.0,u,0.16532275,0.14242220000000005,0
53082.0,g,1.6354082,0.14749293,0
53082.0,r,6.588353999999999,0.1634231,0
53082.0,i,12.821379,0.18149419,0
53082.0,z,16.55829,0.19151253,0
53082.0,Y,17.226976,0.19325045,0
53084.0,u,-0.0014303541,0.14184059999999998,0
53084.0,g,1.2796363000000002,0.14628191,0
53084.0,r,6.4610777000000015,0.16303323,0
53084.0,i,12.275025,0.17998274,0
53084.0,z,16.025766,0.19011714,0
53084.0,Y,17.182993,0.19313662,0
53086.0,u,0.49947652,0.14359051,0
53086.0,g,1.1539577,0.1458517,0
53086.0,r,6.439785,0.16296792,0
53086.0,i,12.133958,0.17959042,0
53086.0,z,15.654535999999998,0.18913831,0
53086.0,Y,17.096027,0.19291134,0
53088.0,u,0.07334438,0.14209892,0
53088.0,g,1.0311617,0.14543013,0
53088.0,r,6.228252,0.16231763,0
53088.0,i,11.583067,0.17805007,0
53088.0,z,15.294785,0.18818486,0
53088.0,Y,16.088438,0.1902819,0
53090.0,u,0.11393783,0.14224169,0
53090.0,g,1.0771496,0.14558814,0
53090.0,r,6.13195,0.16202071,0
53090.0,i,11.288989,0.17722233,0
53090.0,z,14.655365,0.18647821,0
53090.0,Y,15.828781,0.18959837,0
53092.0,u,0.14963526,0.14236711,0
53092.0,g,1.1037819,0.14567958,0
53092.0,r,6.1934237,0.16221032,0
53092.0,i,10.93632,0.17622451,0
53092.0,z,13.991746,0.1846903,0
53092.0,Y,15.170991,0.18785566,0
53094.0,u,0.0644813,0.14206773,0
53094.0,g,0.99122614,0.14529276,0
53094.0,r,6.071454,0.16183391,0
53094.0,i,10.736375,0.17565629,0
53094.0,z,13.549478,0.18348905,0
53094.0,Y,14.8999,0.18713273,0
53096.0,u,-0.09125979,0.14184059999999998,0
53096.0,g,1.211098,0.14604746,0
53096.0,r,5.9622793,0.16149625,0
53096.0,i,10.324062,0.17447871,0
53096.0,z,12.826678,0.1815088,0
53096.0,Y,13.906476,0.1844593,0
53098.0,u,0.19166763,0.14251465,0
53098.0,g,1.0468295,0.14548399,0
53098.0,r,5.7465053,0.16082682,0
53098.0,i,9.654332,0.17254882,0
53098.0,z,12.022427,0.17927963,0
53098.0,Y,13.944401,0.18456207,0
53100.0,u,-0.13967748,0.14184059999999998,0
53100.0,g,0.87970877,0.14490847,0
53100.0,r,5.5416813,0.16018876,0
53100.0,i,9.818608,0.17302419,0
53100.0,z,11.35286,0.17740242,0
53100.0,Y,13.029641,0.18206702,0
53102.0,u,-0.043588184,0.14184059999999998,0
53102.0,g,1.0817093,0.14560379999999998,0
53102.0,r,5.3451853,0.15957427,0
53102.0,i,9.403996,0.17182186,0
53102.0,z,10.983145,0.17635731,0
53102.0,Y,12.77767,0.18137373,0
53104.0,u,0.07531514,0.14210585,0
53104.0,g,0.6603929000000001,0.14414975,0
53104.0,r,5.0918965,0.15877864,0
53104.0,i,8.745488,0.16989479999999998,0
53104.0,z,10.630883,0.17535576,0
53104.0,Y,11.751359,0.17852204,0
53106.0,u,0.19861722,0.14253904,0
53106.0,g,1.0723056,0.14557151,0
53106.0,r,5.3080125,0.15945774,0
53106.0,i,8.504081,0.16918287,0
53106.0,z,9.838358,0.17308125,0
53106.0,Y,11.785006,0.17861626,0
53108.0,u,-0.1150409,0.14184059999999998,0
53108.0,g,0.94069815,0.14511877,0
53108.0,r,4.837772,0.15797636,0
53108.0,i,8.4241705,0.16894653,0
53108.0,z,9.35568,0.17168121,0
53108.0,Y,10.941286,0.1762386,0
53110.0,u,0.26390213,0.14276785,0
53110.0,g,0.76565075,0.14451438,0
53110.0,r,4.5689907,0.15712336,0
53110.0,i,7.7048526,0.1668041,0
53110.0,z,8.814638,0.17009819,0
53110.0,Y,10.306475,0.17442829999999998,0
53112.0,u,0.11431592,0.14224301,0
53112.0,g,0.85959494,0.14483906,0
53112.0,r,4.2643886,0.15615104,0
53112.0,i,7.1521463,0.16513905,0
53112.0,z,8.070791,0.16789745,0
53112.0,Y,9.931674,0.17335060000000002,0
53114.0,u,0.108936526,0.1422241,0
53114.0,g,0.7251543,0.1443742,0
53114.0,r,4.0111089999999985,0.15533791,0
53114.0,i,6.6535277000000015,0.1636224,0
53114.0,z,7.5215106,0.16625363,0
53114.0,Y,9.005511,0.17065834,0
53116.0,u,0.014177909,0.14189059,0
53116.0,g,0.55166173,0.14377211,0
53116.0,r,3.764789,0.15454303,0
53116.0,i,6.606584,0.16347888,0
53116.0,z,6.781161,0.16401194,0
53116.0,Y,8.574404,0.16939056,0
53118.0,u,-0.0011740087,0.14184059999999998,0
53118.0,g,0.51182634,0.14363351,0
53118.0,r,3.5319462,0.15378785,0
53118.0,i,6.2927513,0.16251619,0
53118.0,z,6.399751,0.16284505,0
53118.0,Y,7.811926,0.16712476,0
53120.0,u,0.15793382,0.14239626,0
53120.0,g,0.7388319000000001,0.14442156,0
53120.0,r,3.178408,0.15263410000000002,0
53120.0,i,5.9040294,0.16131581,0
53120.0,z,6.127066,0.16200563,0
53120.0,Y,7.815346000000001,0.16713499999999998,0
53122.0,u,0.19549191,0.14252807,0
53122.0,g,0.6640048000000001,0.14416228,0
53122.0,r,3.2203493,0.15277143,0
53122.0,i,6.0639133,0.1618106,0
53122.0,z,6.0338607,0.16171771,0
53122.0,Y,7.613631699999999,0.16653046,0
53124.0,u,0.1028354,0.14220265,0
53124.0,g,0.54687387,0.14375547,0
53124.0,r,3.3041456,0.15304545,0
53124.0,i,5.3499136,0.15958908,0
53124.0,z,5.5358367,0.16017051,0
53124.0,Y,7.3225417,0.16565415,0
53126.0,u,0.15570633,0.14238843,0
53126.0,g,0.49726126,0.14358279,0
53126.0,r,2.9980211,0.15204203,0
53126.0,i,5.7528334,0.16084649,0
53126.0,z,5.430348,0.15984088,0
53126.0,Y,6.8572583,0.16424377,0
53128.0,u,-0.10710417,0.14184059999999998,0
53128.0,g,0.6534241999999999,0.14412558,0
53128.0,r,3.0082884,0.15207579999999998,0
53128.0,i,5.772899,0.16090885,0
53128.0,z,5.2797847,0.1593692,0
53128.0,Y,6.935252,0.16448103,0
53130.0,u,-0.0012964772,0.14184059999999998,0
53130.0,g,0.79337233,0.14461027,0
53130.0,r,2.9284527,0.15181307,0
53130.0,i,5.253401,0.15928641,0
53130.0,z,5.263307,0.15931751,0
53130.0,Y,6.6893516,0.16373183,0
53132.0,u,-0.30640712,0.14184059999999998,0
53132.0,g,0.4848975,0.14353973,0
53132.0,r,2.8778203,0.15164623,0
53132.0,i,5.501666,0.16006382,0
53132.0,z,4.923321,0.1582469,0
53132.0,Y,6.3695703,0.16275235,0
53134.0,u,-0.10784722,0.14184059999999998,0
53134.0,g,0.22755948,0.14264052,0
53134.0,r,2.6491597,0.15089042,0
53134.0,i,5.044617,0.15862969,0
53134.0,z,5.2769059999999985,0.15936017,0
53134.0,Y,6.2328085999999985,0.16233167,0
53136.0,u,-0.020183746,0.14184059999999998,0
53136.0,g,0.64674884,0.14410242,0
53136.0,r,3.0403726000000004,0.15218124,0
53136.0,i,5.147293,0.15895298,0
53136.0,z,4.8451986,0.15799986,0
53136.0,Y,6.320233999999999,0.16260073,0
53138.0,u,0.037865173,0.14197403,0
53138.0,g,0.6844385000000001,0.14423314,0
53138.0,r,2.7457888,0.15121028,0
53138.0,i,4.6145997,0.15726843,0
53138.0,z,4.743156,0.15767662,0
53138.0,Y,6.1478195,0.16206968,0
53140.0,u,0.027042978,0.14193591,0
53140.0,g,0.33936024,0.14303188,0
53140.0,r,2.5831444,0.15067151,0
53140.0,i,4.553743,0.15707482,0
53140.0,z,4.649148,0.15737824,0
53140.0,Y,5.848492,0.16114357,0
53142.0,u,0.033542607,0.1419588,0
53142.0,g,0.20026018,0.1425448,0
53142.0,r,2.6984382,0.15105362,0
53142.0,i,4.712802,0.15758033,0
53142.0,z,4.78074,0.15779574,0
53142.0,Y,5.847755,0.16114128,0
53144.0,u,-0.14445226,0.14184059999999998,0
53144.0,g,0.44910416,0.143415,0
53144.0,r,2.7048564,0.15107487,0
53144.0,i,4.55436,0.15707679,0
53144.0,z,4.4523873,0.15675186,0
53144.0,Y,5.4833336,0.16000655,0
53146.0,u,-0.04329078,0.14184059999999998,0
53146.0,g,0.41320243,0.14328977,0
53146.0,r,2.4624484,0.15027045,0
53146.0,i,4.5776596,0.15715094,0
53146.0,z,4.1060360000000005,0.15564318,0
53146.0,Y,5.389645,0.1597135,0
53148.0,u,0.12203287,0.14227015,0
53148.0,g,0.5218305999999999,0.14366834,0
53148.0,r,2.5213156000000003,0.15046619,0
53148.0,i,4.353722,0.15643683,0
53148.0,z,4.6080847,0.15724770000000002,0
53148.0,Y,5.4343596,0.15985343,0
53150.0,u,-0.03273975,0.14184059999999998,0
53150.0,g,0.47131687,0.14349243,0
53150.0,r,2.3611720000000003,0.14993308,0
53150.0,i,4.5658107,0.15711324,0
53150.0,z,3.9358087,0.15509535,0
53150.0,Y,5.0872470000000005,0.15876399,0
