mjd,band,flux,fluxerr,detected_bool
53000.0,u,-0.3652356,0.14184059999999998,0
53000.0,g,-0.13520098,0.14184059999999998,0
53000.0,r,-0.022115551,0.14184059999999998,0
53000.0,i,-0.09406897,0.14184059999999998,0
53000.0,z,-0.16514063,0.14184059999999998,0
53000.0,Y,-0.090518944,0.14184059999999998,0
53002.0,u,0.01147092,0.14188105,0
53002.0,g,0.055536088,0.14203624,0
53002.0,r,-0.022609899,0.14184059999999998,0
53002.0,i,-0.22045793,0.14184059999999998,0
53002.0,z,-0.053540114000000014,0.14184059999999998,0
53002.0,Y,-0.14520133,0.14184059999999998,0
53004.0,u,-0.013394805,0.14184059999999998,0
53004.0,g,0.10402751,0.14220685,0
53004.0,r,-0.24193065,0.14184059999999998,0
53004.0,i,-0.23311687,0.14184059999999998,0
53004.0,z,0.17159548,0.14244421,0
53004.0,Y,0.119646184,0.14226174,0
53006.0,u,0.23221183,0.14265683,0
53006.0,g,0.09288893,0.14216767,0
53006.0,r,-0.11380019,0.14184059999999998,0
53006.0,i,0.22399364,0.14262801,0
53006.0,z,0.08835888,0.14215174,0
53006.0,Y,0.17900102,0.14247021,0
53008.0,u,-0.09567193,0.14184059999999998,0
53008.0,g,0.06333391,0.14206369,0
53008.0,r,-0.021501115,0.14184059999999998,0
53008.0,i,-0.10731284,0.14184059999999998,0
53008.0,z,-0.12878454,0.14184059999999998,0
53008.0,Y,-0.0046251235,0.14184059999999998,0
53010.0,u,0.16007331,0.14240377,0
53010.0,g,-0.11430728,0.14184059999999998,0
53010.0,r,0.118729234,0.14225852,0
53010.0,i,5.1257204e-05,0.14184079,0
53010.0,z,0.10303991,0.14220338,0
53010.0,Y,0.17367439,0.14245151,0
53012.0,u,-0.0045279106,0.14184059999999998,0
53012.0,g,0.12405899,0.14227726,0
53012.0,r,0.01954994,0.14190951,0
53012.0,i,0.23116666,0.14265317,0
53012.0,z,-0.22505362,0.14184059999999998,0
53012.0,Y,-0.11558219999999997,0.14184059999999998,0
53014.0,u,0.081775375,0.14212859,0
53014.0,g,-0.03492432,0.14184059999999998,0
53014.0,r,0.114753105,0.14224455,0
53014.0,i,-0.04949143,0.14184059999999998,0
53014.0,z,-0.068963304,0.14184059999999998,0
53014.0,Y,0.1288051,0.14229393,0
53016.0,u,-0.041521464,0.14184059999999998,0
53016.0,g,0.16299023,0.142414,0
53016.0,r,0.28015304,0.14282477,0
53016.0,i,0.0056939973,0.1418607,0
53016.0,z,-0.02456145,0.14184059999999998,0
53016.0,Y,0.1597959,0.14240278,0
53018.0,u,-0.2928363,0.14184059999999998,0
53018.0,g,0.21856873,0.14260902,0
53018.0,r,-0.24428372,0.14184059999999998,0
53018.0,i,-0.08247448,0.14184059999999998,0
53018.0,z,0.024095995,0.14192553,0
53018.0,Y,0.25806493,0.14274742,0
53020.0,u,0.030429503,0.14194785,0
53020.0,g,-0.22623052,0.14184059999999998,0
53020.0,r,0.11479574,0.14224471,0
53020.0,i,-0.3631238,0.14184059999999998,0
53020.0,z,0.01257194,0.14188492,0
53020.0,Y,-0.19339485,0.14184059999999998,0
53022.0,u,0.059697762,0.1420509,0
53022.0,g,0.058889255,0.14204805,0
53022.0,r,0.13840804,0.14232768,0
53022.0,i,0.07316657,0.14209829999999998,0
53022.0,z,0.04656625,0.14200467,0
53022.0,Y,-0.07972046,0.14184059999999998,0
53024.0,u,-0.063939005,0.14184059999999998,0
53024.0,g,0.011465645,0.14188103,0
53024.0,r,-0.2433127,0.14184059999999998,0
