flux_u,flux_g,flux_r,flux_i,flux_z,flux_Y
-0.07256193,0.16357373,-0.12035162,-0.036590826,0.32267985,0.11498357
,,,,,
-0.036647134,0.19428839,-0.007912292,-0.120183334,-0.014775701,0.04091376
,,,,,
-0.014123272,-0.09972493,0.3128145,0.028088596,-0.07764058,0.0901685
,,,,,
-0.17512629999999998,-0.148624,-0.17213902,0.02770469,0.03687229,-0.061390772
,,,,,
0.37899816,0.033874800000000004,-0.010837111000000002,-0.054059654000000006,0.14771357,-0.14032386
,,,,,
-0.08115275,0.18581264,0.12312354,0.102545954,-0.26802220000000004,-0.0641948
,,,,,
0.14362274,0.029959884,0.17377564,0.0062987780000000005,-0.19649091,0.062111467
,,,,,
0.018795336,0.17551379,-0.10880463,0.024024481,-0.107869014,0.16070813
,,,,,
0.027899455,-0.06348145,-0.08185354,-0.084198676,0.014521663,0.24043237
,,,,,
-0.33536586,-0.24277353,0.060117107,0.08136012,0.09358706,-0.058470026
,,,,,
-0.28366613,0.12095291,0.082023315,-0.09772352,-0.019547400000000003,0.11975059
,,,,,
-0.09392832,0.15638609,-0.07440039999999999,0.089192934,0.19108970000000008,0.11256946
,,,,,
0.11440419,0.03353286,0.040559538,-0.14128211,-0.032741908,-0.10693179
,,,,,
0.11073416,0.12268545,-0.33628136,0.26747102,0.09569368,0.26507600000000003
,,,,,
-0.098432966,0.035596903,0.114351176,-0.18075177,0.22360869,-0.04539269
,,,,,
0.24312887,0.07732151400000001,0.13208981,-0.08470438,-0.13760823,-0.039455567
,,,,,
-0.13619894,0.066486426,0.07907396,0.115975924,-0.115822874,0.070779875
,,,,,
-0.33765793,-0.13848893,0.056417584000000014,-0.14429933,0.3030698,-0.116804525
,,,,,
-0.050125163,0.18002945,0.14748028,0.08861105,-0.14236622,-0.19657785
,,,,,
0.11498071,-0.12312693,-0.21037209,-0.08482148,-0.07113011,0.19382638
,,,,,
-0.004877585,0.025777714,-0.21675752,-0.18906453,0.13706210000000002,-0.030140508
,,,,,
0.15725178,0.09715377,0.24307261,0.0419784,-0.07186889,0.12203915
,,,,,
10.850638,5.138945,2.5993094,1.7697348999999998,1.6396263,1.8089749
,,,,,
52.235348,25.250525,12.735146,9.831048,8.534591,8.083459
,,,,,
107.5233,53.00964000000001,27.312874,21.634209,20.021315,19.1999
,,,,,
155.18492,78.1213,38.61348,32.915176,30.82795,30.352272
,,,,,
144.41853,87.72358,44.767506,39.68798,38.340443,37.685722
,,,,,
113.820885,85.58391999999998,46.24019600000001,42.444668,41.119797,42.124306
,,,,,
86.733795,78.49280999999998,46.6026,43.14556,42.550446,44.600197
,,,,,
65.33543399999999,69.66322,45.332314,42.975357,42.623344,45.53631
,,,,,
49.035122,62.62768000000001,44.426334,42.09806,41.871323,45.319225
,,,,,
39.9755,54.964325,43.478897,41.41199,41.027706,44.74844
,,,,,
38.11727,47.72838,42.012806,40.650845,40.14678,43.11122
,,,,,
37.413277,41.313946,40.115765,40.37759000000001,39.62822,42.365845
,,,,,
35.362633,35.24772,39.108437,39.492977,38.743507,40.92197
,,,,,
31.540693,31.267813,37.40025,38.48392,37.76603,39.909966
,,,,,
26.89112,26.94275,35.56835,38.140785,37.6648,38.530224
,,,,,
22.40143,23.503973,34.298176,35.86932,37.05988,37.39688
,,,,,
18.244356,20.782269,32.039364,35.688244,36.427803,36.76645
,,,,,
14.912321,18.335608,30.776419,34.34474,35.565,36.144543
,,,,,
12.144252,16.083527,28.88048400000001,33.764920000000004,34.94118,36.02668
,,,,,
9.8307295,14.062035,27.580538,31.700632,34.680393,34.830177
,,,,,
7.558234,12.465872,25.654758,31.500038,34.088467,34.69147
,,,,,
6.0080547,11.27227,25.12655,30.40291,33.100857,34.488243
,,,,,
4.1112785,10.332797,23.63055,29.369173,33.175059999999995,34.31485
,,,,,
3.1775997000000005,9.136867,22.88929,28.83069,33.046574,34.4265
,,,,,
2.399305,8.271574000000001,21.92524,28.307981,32.280663,33.73069
,,,,,
1.7523164,7.6252284,20.798532,27.65096500000001,32.048813,33.351223
,,,,,
1.1170876,6.3312599999999986,20.127464,27.732622,32.113712,33.768936
,,,,,
0.9706718,5.6313853,19.212156,27.155334000000003,31.514486,33.41003
,,,,,
0.94168365,4.984061,18.871212,26.982466,31.40631500000001,33.83043
,,,,,
0.38889855,4.441341,17.979895000000006,27.015638,30.888626,33.2274
,,,,,
0.3433288,3.580564,17.61779,26.323517,30.784925,33.196396
,,,,,
0.2665446,2.8615944,17.609756,26.04462,30.529922,33.069340000000004
,,,,,
0.17670988,2.750094,17.305285,25.855024,30.824978,33.342396
,,,,,
-0.011937389,2.2298849,16.810589999999998,25.646805,29.97793,33.345463
,,,,,
0.1707029,2.2554355,16.883806,24.751398,30.132368,33.327305
,,,,,
-0.008025604,1.6916386000000003,16.117428,24.599104,29.282879,33.232586
,,,,,
0.2733297,1.3387933,15.822787,24.344446,29.339876,33.317665000000005
,,,,,
0.017571159,1.2579391000000002,15.739425,23.87832,29.246716,33.085083000000004
,,,,,
-0.024254719,1.0980873,15.157864000000002,23.901377,28.542059,32.9562
,,,,,
0.10001155,1.1186471000000002,15.097155,23.40604200000001,28.544027000000003,32.560555
,,,,,
0.011782207,0.7910099,14.950079,23.049763,28.158218,32.85714
,,,,,
0.031130556,1.3881248,14.568101,22.662012,27.743923,33.12888
,,,,,
0.14755751,0.92597634,14.354110999999998,22.160793,27.483301,32.46488
,,,,,
0.052969425999999986,1.1620091,13.909285999999998,21.93115,26.91267,32.31106
,,,,,
0.16829093,0.6129354,13.444395000000002,21.719193,27.196842,32.168324
,,,,,
0.19817924,0.6880138000000001,12.9957905,20.817951,26.722462,31.90671
,,,,,
-0.09668626,0.97453505,12.844921,20.311405,26.436274,31.350542
,,,,,
-0.14641191,0.44249144,12.502894,20.05627,25.845667,31.939495
,,,,,
0.035715792,0.57573444,12.067897,19.806904,25.307102,30.79441
,,,,,
0.1872936,0.68133134,11.934583,18.820293,25.000025,30.737864
,,,,,
0.031069614,0.7023385999999999,11.482364,18.5173,24.766756,30.12608
,,,,,
0.17627218,0.38605878,11.17601,18.237423,24.488913,29.727364
,,,,,
-0.06285723,0.38532564,10.762551,18.012520000000006,24.149563,28.759197
,,,,,
-0.24228121,0.50082606,10.688542,17.726553,23.25251,28.443268
,,,,,
0.12131942,0.49484292,10.188831,17.177668,23.05761,28.341246
,,,,,
0.15663473,0.3094499,10.1452055,17.068907,22.588995,28.276625
,,,,,
0.033743624,0.4023248,9.630528,16.37057,21.804567,27.955582
,,,,,
0.12285946,-0.0008492893499999999,9.894559,16.14762,21.874346,27.318523
,,,,,
0.03573341,0.4303349,9.117755,15.922088,20.962122,27.5278
,,,,,
0.07742552,0.42408004,9.001559,15.043819,20.499224,26.627373
,,,,,
0.06657439999999999,0.34327117,9.01139,14.666529999999998,20.162947,25.983898
,,,,,
-0.13841733,0.29307118,8.468169999999999,14.809159,19.406458,26.084291
,,,,,
0.18008557,0.35720986,8.514738000000001,13.819646,18.803724,25.9965
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
