flux_u,flux_g,flux_r,flux_i,flux_z,flux_Y
0.14963467,0.11999259,-0.21007074,-0.17983946,0.0949259,-0.11360277
,,,,,
0.09889123,-0.23836915,-0.15201895,0.07478209599999999,0.14614119,0.17572436
,,,,,
0.04883694,-0.05546912,0.07720883,0.029019814,0.32963338,0.15059091
,,,,,
-0.084322624,-0.04090611,0.10155894,0.087618835,0.04791533,-0.1607634
,,,,,
-0.007982086,0.12307461,-0.34725502,-0.052343737,-0.033684988,0.09657659
,,,,,
0.17572168,0.052195225,-0.17509627,0.1632751,-0.08614353,-0.2393293
,,,,,
0.14583008,-0.075854465,-0.05515865,0.24444053,0.08816144,0.04820392
,,,,,
-0.01670909,0.30619872,0.31518695,0.20875587,-0.043958917,-0.028883569
,,,,,
0.09029873,0.24465568,0.050304044000000006,0.27660587,0.17891353,0.07652291
,,,,,
-0.1920517,0.16854863,-0.23119798,-0.0024885263,-0.10180321,-0.11473748
,,,,,
0.09323322,-0.080985524,0.14050688,0.0025297822,0.1174669,-0.118765265
,,,,,
-0.035365312999999995,-0.18772516,0.23195006,0.08150738,-0.08389173400000001,-0.09865002
,,,,,
-0.024100801,0.04209299,-0.046817474000000005,-0.16610679,-0.21278676,0.005276047
,,,,,
-0.15218887,0.20319562,0.26025033,-0.0018888839,0.21808400000000008,0.4280222
,,,,,
0.9731366,2.0927346,0.61869186,0.8181975,0.6794891,3.5920286
,,,,,
3.2400694,7.3511815,2.3664434,5.1952186,2.9704819,5.926927
,,,,,
6.398516000000001,14.391273000000002,10.150029,11.761508,8.4593115,10.026185
,,,,,
9.749176,21.215944,18.66584,18.148947,14.5504,15.029395999999998
,,,,,
13.895172,27.741076,25.800114,23.157145,19.623379,20.456888
,,,,,
13.823667000000002,34.52077,32.84045,30.380402,24.455582,25.6255
,,,,,
13.780806,40.423687,39.375504,36.637974,29.203487,30.213068
,,,,,
12.377564,43.795696,45.200413,42.24945,33.553406,34.64284
,,,,,
8.777556,44.87172,49.311165,45.571106,37.414883,37.683887
,,,,,
8.376251,43.516266,51.064285,48.185394,40.16291,39.31553
,,,,,
7.112436,39.030544,52.054375,49.28856,42.51471,40.647263
,,,,,
5.1706257,33.651947,50.45592,49.41946,43.493034,41.649147
,,,,,
