flux_u,flux_g,flux_r,flux_i,flux_z,flux_Y
-0.23237136,-0.1465431,0.042520903,0.029370116,-0.07334845,0.10835698
,,,,,
-0.09615447,0.28088364,-0.060105283,-0.116593845,-0.111820966,-0.27966776
,,,,,
-0.111824684,0.04008228,0.14772624,-0.09073135,-0.16514185,-0.14545059
,,,,,
0.14451294,-0.4104814000000001,0.06709317,0.066936664,-0.037117332,-0.109914206
,,,,,
-0.15416701,-0.09598133,0.13893451,0.060484804,0.08204692599999999,-0.10507863
,,,,,
0.10630225,-0.15961355,-0.005275373000000001,-0.18435155,0.074925356,0.030182945
,,,,,
0.02064296,-0.0023991547,0.27150756,0.059787598,0.25863800000000003,0.196581
,,,,,
-0.08440419999999997,0.0008938539999999998,0.3778126,0.08974975,-0.06012430000000001,-0.009010455
,,,,,
-0.11170504,0.24975286,0.026320178,-0.02255,-0.076802656,-0.12760669
,,,,,
0.13758594,-0.0997787,0.0030956115,0.110103674,-0.013108031,-0.16194881
,,,,,
-0.012216979,-0.08415727,0.1873597,0.12396358,0.07508187,0.18606375
,,,,,
0.07130358,-0.20988205,0.024396358,0.16811393,-0.03208376,-0.05890631
,,,,,
-0.05396663,-0.003840584,-0.23321533,0.03083059,-0.31050065,0.2968372
,,,,,
0.0876038,0.025367895,-0.049037933,0.038904287,0.16911994,0.015170188
,,,,,
0.06963457,-0.05102074,-0.18433043,-0.0129453,0.02103578,-0.18862362
,,,,,
-0.27733162,-0.11610216,-0.19521117,-0.11984132,0.26164094,0.11640644
,,,,,
-0.11181687,0.07991309,-0.2504248,0.3515495,0.24560337,-0.10397993
,,,,,
-0.0039573740000000005,-0.048634123,-0.04865173,-0.033804875,0.04551203,0.16456097
,,,,,
-0.15549806,-0.04107512,-0.18976253,-0.22043097,-0.014263558,0.12289155
,,,,,
-0.14560336,-0.122384995,0.22190039,-0.06246674,-0.29009414,0.09292157
,,,,,
1.9784974,3.6344967000000006,4.9684089999999985,5.2828383,5.486018,5.28526
,,,,,
3.3319306000000006,6.412955,8.747139,10.521588,10.457319,10.494498
,,,,,
4.7588153,10.032631,14.410671,16.538523,16.760633,16.347116
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2.0200157,7.9281087,16.847379999999998,23.772871,27.901693,30.671991
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.047430854,2.1152253,8.143976,14.973928,20.871523,25.319223
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.070378274,0.98271924,3.7371073,8.851375,13.680584,18.330704
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
-0.103018776,0.2513623,1.4957916,5.189649,8.636374,13.358367
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
-0.005809887,0.2194617,0.7607615,3.0470176,6.157842,9.714935
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.14576814,0.11647429,0.6877353,1.7597305,4.558570400000002,7.5020466
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.04006785,0.013909763,0.3365704,1.3992928,3.3567886,6.0429309999999985
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.18025275,0.053307787,0.2673974,0.7741561,2.5594966,5.1145396
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
