flux_u,flux_g,flux_r,flux_i,flux_z,flux_Y
-0.021097692,-0.0831801,0.1706531,0.113436095,0.04032145,0.08781092
,,,,,
0.029685495,-0.24894957,0.2814081,-0.3593828,0.28018814,0.19444047
,,,,,
-0.13072748,0.089514025,-0.02040769,0.10790423,-0.054856457,0.13170215
,,,,,
0.07332183,-0.03715674,-0.0054063364,0.24311389,-0.20862961,-0.07864866400000001
,,,,,
-0.065585665,0.19309868,-0.024004482,-0.10494759,-0.13203098,-0.09753149
,,,,,
0.23543409,-0.0039707683,0.12077862,0.014263605,0.034081843,-0.021833584
,,,,,
-0.23084052,0.035552528,-0.06960469,-0.13746454,0.0032736538,0.023697088
,,,,,
-0.16993387,-0.09182059,-0.11753779,0.12541461,0.04638868,0.030181345
,,,,,
-0.0057748086,0.14438787,0.109161876,0.065661296,0.13829075,0.094461344
,,,,,
-0.028886158,0.14749600000000002,-0.15666613,-0.15371057,-0.12054387,-0.24138074
,,,,,
-0.080555394,0.18085085,-0.13434085,0.2923375,0.021282881,0.14914419
,,,,,
-0.050444517,-0.014455353,0.17143473,0.021319441,0.103737265,-0.0034878636
,,,,,
-0.22571619,-0.05650414,-0.17357512,0.064473756,0.06018782,-0.30805683
,,,,,
-0.026329175,-0.13747455,0.306504,-0.06735329,-0.059234023,-0.19057389
,,,,,
-0.05060908,0.18185261,0.41760707,1.0549951000000002,1.5406759,1.1666729999999998
,,,,,
0.07946412,0.47641772,1.8316799,3.3508701000000003,4.4927835,4.366766
,,,,,
-0.08016319999999999,1.0943371000000002,3.957412,7.1015644,9.153724,9.222952
,,,,,
0.2970889,2.1949131,7.7420053,13.979446,18.008495,17.770702
,,,,,
0.28368628,3.5805010000000004,12.593424,22.718344,29.173994,28.97388
,,,,,
0.3288552,4.360679,16.976267,31.672203000000003,40.416862,39.77306
,,,,,
0.31017008,4.5762186,19.9885,38.82011,49.66468,48.793503
,,,,,
0.51575744,5.1840215,22.438799,44.700935,58.62064399999999,57.10262700000001
,,,,,
0.59801203,5.0240498,24.028425,49.45189,65.32675,63.89284
,,,,,
0.38391227,4.8317494000000005,23.460827,52.119804,69.005936,69.15653
,,,,,
0.4463258,3.7748854,21.481861,51.742783,70.63938,70.38600000000002
,,,,,
0.34328955,3.1570876,18.787828,50.498928,69.89819,68.47874
,,,,,
0.22121446,2.4981914,15.160605,45.775204,66.96868,62.844967
,,,,,
0.10512108,1.8225002,12.076266,39.831497,61.25422,58.976772
,,,,,
-0.08880895,1.5822879,9.543418,34.890305,54.405235,55.735905
,,,,,
0.023012616,1.1750185,7.5517015,29.346502,48.011936,51.134888
,,,,,
0.14944552,1.022281,6.572379,26.375963,43.671207,46.468082
,,,,,
0.13368697,1.0190802,6.058694,24.009499,38.906517,42.24339000000001
,,,,,
0.23716599,0.96430475,5.6824856,21.756609,34.69853,38.35673
,,,,,
-0.24032296,1.1401559,5.285345,19.445663,31.669697,34.099167
,,,,,
0.2249282,0.73375434,4.740496599999998,17.83,28.213232,30.707590000000003
,,,,,
0.35702473,0.5187762,4.0906906,15.939358,25.722284,27.710379
,,,,,
0.0045216577,0.5425678,3.6885633,14.783045,22.850899,25.226753
,,,,,
0.12061803,0.66129345,3.4212406000000004,12.7890415,20.593819,22.505093
,,,,,
-0.034930885,0.5841951999999999,3.1547080000000003,11.607054,18.331121,20.235
,,,,,
0.2250545,0.5836996,2.8697097,10.665927,16.96741,18.240192
,,,,,
0.16176695,0.6357289,2.6626115,9.6015215,15.528579999999998,15.736351999999998
,,,,,
-0.061378013,0.33909494,2.0767424,8.644908000000001,14.117897,14.127096
,,,,,
0.3815903,0.46722206,2.380573,8.221839,12.933295,13.474004999999998
,,,,,
0.10609933,0.53592414,2.1007087,7.581583,11.959323,11.993203
,,,,,
0.14565884,0.47609022,1.6868358,7.4054356,10.975464,11.597468
,,,,,
0.01016853,0.33646286,1.7307718999999997,6.983495,10.421341,10.163241
,,,,,
0.034210894,0.50084645,1.6421308999999995,6.762728,9.73248,9.649294
,,,,,
0.004518081,0.4363895,1.837603,6.1880713,9.031071,9.016301
,,,,,
0.06980626,0.35298288,1.9669591,6.1594453,8.419921,8.419011
,,,,,
0.15465283,0.411793,1.8417901,5.715644,7.861750999999999,7.8681725999999985
,,,,,
-0.034512557,0.1233342,1.6910825,5.3980293,7.387629,7.058209
,,,,,
0.104464084,0.35315636,1.4680793,5.0108323,7.116399,6.0630484
,,,,,
0.25023738,0.4052129,1.5774127,4.956902,7.5289288,5.531121
,,,,,
0.20083033,0.393778,1.3621132,4.920011,7.198189299999999,5.4543504999999985
,,,,,
0.22060993,0.32298946,1.1876719999999998,4.6017456,7.1419387,5.13529
,,,,,
0.2993987,0.14652103,1.4833261,4.57416,6.4567685,4.876049
,,,,,
-0.22368188,0.34137398,1.1748533,4.363096,6.33325,4.929338
,,,,,
0.20479682,0.30353266,1.3310336,4.1320305,6.1057525,4.592955
,,,,,
0.15498254,0.15147054,1.0965433,3.8879135,5.6940813,4.509702
,,,,,
-0.11351033,0.20594722,1.3219881000000002,3.5632808,5.681673,4.2221584000000005
,,,,,
