flux_u,flux_g,flux_r,flux_i,flux_z,flux_Y
2.4923635,27.991396,55.07615,50.017,49.84806,44.24868
,,,,,
2.3163857000000005,26.323439,58.345615,54.21713,53.583843,48.0695
,,,,,
2.0512226000000005,24.126387,60.072113,57.711086,56.223423,51.81022
,,,,,
2.0907562,22.653482,60.454002,59.877098,58.30246,54.324165
,,,,,
1.8063055,20.68489,59.312714,62.18202,60.448742,57.11811
,,,,,
1.1475401,18.301632,56.66082,62.7314,61.67388,59.71821600000001
,,,,,
1.0880938,15.694152,51.709328,62.03308000000001,61.70748,62.15391999999999
,,,,,
0.5658858,12.9322405,45.604805,60.60965699999999,62.10731,63.76893199999999
,,,,,
0.57217014,10.305324,39.524807,59.299137,61.73729300000001,65.53474399999999
,,,,,
0.54653037,8.406707,33.936802,55.992565,61.5995,66.5901
,,,,,
0.14427942,6.2952075,28.293095,52.53024,59.40688000000001,64.88644000000001
,,,,,
0.4771587000000001,4.98965,23.69062000000001,48.142418,56.568596,63.41829
,,,,,
0.37444276,4.0043225,19.2291,43.34811,53.794834,61.04611600000001
,,,,,
0.41819337,2.7018883,15.9127245,38.03459,50.18597000000001,58.01656
,,,,,
0.08076265,2.07932,13.10882,33.346195,46.310246,54.85418000000001
,,,,,
0.26367554,1.8521745,10.994269,30.058594,42.22558,52.370827
,,,,,
0.1281776,1.3456923,9.686064,26.63758,38.81751,49.085228
,,,,,
-0.047346856,1.2769783,8.587591999999999,24.144783,35.23205,45.809967
,,,,,
0.22831777,1.2889751,7.677395,21.778763,31.871855,42.81857
,,,,,
0.07955339,1.1209089,7.0807304,20.400253,28.98112,39.2974
,,,,,
-0.09709441,0.9973368,6.428389,18.617733,27.271246,35.157494
,,,,,
0.08112677,0.8684881,6.040378,17.377570000000002,26.24011,31.529564
,,,,,
-0.10980341,0.6595604,5.886284,16.508395999999998,24.990414,29.331648
,,,,,
0.16362907,0.39760718,5.574268,15.665796,23.399256,27.262959
,,,,,
-0.014659046,0.9551039,5.3261967000000014,14.301375,21.917242,26.245188
,,,,,
0.07617001,0.5738085999999999,5.262204,13.66666,20.43325,25.73318900000001
,,,,,
0.26979667,1.006968,5.0875525,12.922212,19.369728,25.207903
,,,,,
0.19037755,0.53712237,4.62319,12.93897,18.097874,25.175678
,,,,,
-0.11157423,0.6309666,4.627801,11.994426,16.834887,24.305956
,,,,,
-0.12132326,0.68505925,4.926403,11.756763,16.123182,23.926796
,,,,,
-0.12958789999999998,0.63552344,4.4270239999999985,11.724446,15.304137,22.467628
,,,,,
0.04187468,0.818638,4.089829,11.670106,14.366924,21.12917
,,,,,
-0.22456506,0.43357182,4.078538,11.212907,14.173642999999998,20.771507
,,,,,
-0.061771806,0.5540887,4.292078,10.794384,13.526229,19.860579
,,,,,
0.01393516,0.53890055,4.118441000000002,10.797437,13.320929,19.390354
,,,,,
-0.10250828,0.5698411,3.7672415,10.494447,12.808689,17.827126
,,,,,
0.13556139,0.4810122000000001,3.773017,10.212815,12.264064,17.573992
,,,,,
0.1014525,0.43977532,3.9514265,9.855916,12.035374,17.07775
,,,,,
-0.23286074,0.33770984,3.9238288,9.535417,11.659144,16.451227
,,,,,
0.010580723,0.4841415,4.050799,9.214449,11.47034,15.487252
,,,,,
-0.14220959,0.45710403,3.65283,9.112993,10.947601,14.510041
,,,,,
0.11199201,0.30865782,3.4981883000000003,8.750394,10.2722025,13.94786
,,,,,
-0.02707553,0.21524768,3.3641803,8.474226,9.894283,13.513759
,,,,,
-0.017766707,0.1497228,2.8478522,8.610723,9.219582,12.593102
,,,,,
-0.11865869,-0.04317737,2.9662375,8.43854,9.035572,12.058519
,,,,,
0.11108677,0.45512813,2.7586956,7.6979574999999985,8.519999,11.128197
,,,,,
-0.06417927,0.5000806,2.997087,7.7884398,7.854538400000001,10.781296
,,,,,
0.062322635,0.45076194,2.712545,7.211971000000001,7.6298976,10.1295
,,,,,
0.046954207000000005,0.40031785,2.6530948,6.935065299999999,7.8629303,9.102936
,,,,,
-0.2940482,0.37083462,2.7036977,6.5091614999999985,7.3727174,8.944575
,,,,,
0.016564863,0.11609822,2.3112001,6.1317635,6.8435229999999985,8.285781
,,,,,
0.14377072,0.48508856,2.2579176,6.0316367,6.692023,8.111639
,,,,,
-0.3807749,0.3242428,2.360384,5.8217363,6.4442225,7.4631979999999984
,,,,,
0.06484381,0.0009021794,2.1043057000000003,5.1959944,6.4066854000000015,7.682403999999999
,,,,,
-0.107864864,0.33864123,1.9696819,5.638588,6.488409,7.3701015
,,,,,
-0.054333635,0.1147126,2.1753695,5.0784307,6.19434,6.927651400000001
,,,,,
0.09715417,0.21163292,2.3468041,5.0147457000000015,6.135973,6.4883485
,,,,,
-0.025068754,0.41014004,1.7314583,5.1487440000000015,5.999491,6.961024
,,,,,
0.05594993,0.05133947,2.10187,4.918607700000001,5.9220257000000025,6.297088
,,,,,
0.058898505,0.35261366,2.178844,5.083967,5.598804,6.5059055999999975
,,,,,
0.24430418,0.33602947,1.7945561,4.7986684,5.708928,6.2973120000000025
,,,,,
0.082731485,0.3310674000000001,1.8467581,4.989362,5.403375,6.039331400000001
,,,,,
0.07336586,0.0738495,1.4934943,4.513798,5.3488812,6.0803847
,,,,,
-0.15494953,0.2847966,1.7837716,4.256262,5.323683,5.915661
,,,,,
0.07008352,0.27269770000000004,1.6241566,4.5288734,5.4099293,5.774856
,,,,,
0.02111834,0.2627432,1.691746,4.453245,5.1269956,5.450153
,,,,,
0.044977304,0.101997145,1.7934303,4.260036,5.279497599999999,5.6795114999999985
,,,,,
0.113390476,-0.04019987,1.5539266,4.1637716000000005,5.070499,5.7368736
,,,,,
-0.019595927,0.014722556,1.6850282,4.306740799999999,5.0156894,5.3166113
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
