flux_u,flux_g,flux_r,flux_i,flux_z,flux_Y
0.052952427,0.09881714,-0.0908364,-0.0766554,-0.08128231,-0.07734905
,,,,,
0.04919202,0.01813372,0.11122912,-0.034110177,0.09788374,0.043175034
,,,,,
0.09992232,0.10104923,0.14152005,0.22956729,0.13116847,-0.13235375
,,,,,
-0.18467589,0.20438223,0.13748504,0.0127329,0.018151484,0.114260934
,,,,,
0.0034888021,-0.2936886,-0.1502836,-0.06543811,0.09859213,-0.16618276
,,,,,
-0.009694818,0.057045605,-0.1340494,0.0827957,0.24123149,0.039198082
,,,,,
-0.029336153,-0.048643176,-0.0077862954,-0.040189672,-0.123302266,-0.010087576
,,,,,
-0.095724925,-0.08913542,-0.3164364,-0.080389634,0.10643206,0.048020177
,,,,,
0.114569984,0.03620009,-0.16270877,-0.17395067,-0.17052910000000002,-0.021438794
,,,,,
-0.25758475,-0.11764986,-0.0034612221999999995,0.09982622,0.108688414,0.0066355225
,,,,,
-0.004854446,0.20006557,-0.065063186,-0.1242985,0.37035275,0.4015291
,,,,,
0.10013907,0.02233609,-0.010264369,-0.26291177,0.21560194,0.07636551
,,,,,
-0.10769499,0.06164456,-0.07004028,-0.12999137,-0.011333469,0.21637806
,,,,,
-0.07323343,0.10002866,-0.062242508,0.028439004,-0.19820818,-0.08255646400000001
,,,,,
-0.06950963,-0.107722364,0.20425004,0.26095197,-0.062449045,0.15782955
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.109630235,-0.211111,-0.053641777,-0.17667197,0.09393472,-0.17342313
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
122.19002,102.9672,55.365185,50.605843,49.86448,48.52592
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
35.232456,67.50305,55.898876,49.76128,55.0734,55.791016000000006
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
26.602142,35.20025300000001,47.524166,45.201576,46.728146,43.352806
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
14.35317,20.633646,35.681206,40.353043,42.534657,39.17382
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
3.6079085,14.029596,29.572826,37.72027,40.859245,38.646038
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.7086186,8.956609,27.696716,36.40250800000001,40.486904,38.924328
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
-0.0007411042999999999,6.5264153,26.415916,34.24078,39.43193400000001,38.35808
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
