flux_u,flux_g,flux_r,flux_i,flux_z,flux_Y
0.18640509,0.0155301755,-0.00029692214,-0.17490757,-0.026926352,0.08375208
,,,,,
0.014009317,0.111147426,-0.05979368,-0.16858643,0.041283082,-0.027910873
,,,,,
0.058126174,-0.02241778,-0.118501104,0.18284427,-0.09143934,0.054406315
,,,,,
0.027381789,-0.33459732,-0.28936332,-0.3682358,0.166126,0.18113573
,,,,,
0.03227632,-0.114333585,-0.16166225,0.098479696,-0.07603949,0.052013963
,,,,,
-0.16444565,0.10231982,-0.032980442,0.07427275,0.14464778,-0.11692497
,,,,,
0.07196673,0.074589975,0.2382827,-0.061295323,-0.10217016,0.10651713
,,,,,
-0.31816408,0.055091977,-0.12367791,0.31176472,0.07054274,-0.045949962
,,,,,
-0.04850438,0.34703183,0.013560026,0.17950018,0.052623663,0.060815856
,,,,,
-0.065344594,0.047722276,0.14610553,0.18154481,-0.17409639,-0.24533382
,,,,,
-0.2058313,0.3016656,-0.173333,0.18660842,-0.10099005,-0.051034063
,,,,,
0.09751774,1.4019055,1.6991009,0.52241606,0.55252945,0.8671603000000001
,,,,,
0.50248843,3.0165112,5.321342,0.55623585,3.2428887000000004,2.178931
,,,,,
0.9723027,6.1905203,9.103869,1.8844028,6.399056400000001,5.8043976
,,,,,
1.4609616,9.6882515,14.698027,6.1951795,11.0740385,10.204857
,,,,,
1.5947301,14.081442,20.89971,12.605719,16.256948,14.988557
,,,,,
1.7940395,17.803380999999995,26.303478,20.238386,21.8259,20.731443
,,,,,
1.8482059,22.646637,33.147507,27.379221,27.618479,24.925627
,,,,,
2.8149433,26.275084000000003,39.188084,34.117638,32.94547,29.737175
,,,,,
4.0662837,29.736761,44.764256,39.020035,38.491737,33.2952
,,,,,
4.254654,34.259094,50.304153,44.327686,43.04469,36.779186
,,,,,
4.1872997000000005,33.74617,56.515274,49.78262700000001,49.359787,43.564007
,,,,,
4.8773236,32.760582,62.85415,55.935757,54.69571,49.004837
,,,,,
4.286575,34.996063,67.84602,61.180016,60.76489599999999,52.64561
,,,,,
3.299152,37.08491,72.76100000000002,66.048744,65.12473,57.487347
,,,,,
3.2192795,34.249313,75.330826,70.53768000000002,70.03514,61.635513
,,,,,
3.160242,32.120975,78.23703,74.14268,72.40083,65.07144
,,,,,
2.6588008,30.721745,78.13771,76.74811600000002,75.58099,67.60036
,,,,,
2.3378456,28.203852,77.19984000000002,79.98315,77.27758,71.63296
,,,,,
1.5536233999999998,25.160706,73.174515,81.15250999999998,78.87165999999998,74.515366
,,,,,
1.5072198,21.672838,67.348495,81.27695,80.14849,77.97827
,,,,,
1.0914037,18.569305,63.00244,83.035255,81.29746,81.63305
,,,,,
0.9272242,16.174511,58.302395,85.34517,82.38382,83.14668
,,,,,
0.8249056,13.934949,54.627346,86.91358000000002,81.01054,84.290726
,,,,,
0.7609866999999999,11.81068,49.272835,86.01595999999998,77.813866,82.11823000000003
,,,,,
0.6807886,9.653031,43.195984,81.41810600000002,72.41673,77.43828
,,,,,
0.31629777,7.567442,37.42623,74.81482,66.725555,71.92142
,,,,,
0.30527803,6.1124477,30.600683,68.01396,61.16699000000001,67.42681
,,,,,
0.6156431,4.476051,25.717642,60.473183,56.593628,64.100716
,,,,,
0.33365917,3.5478468,21.223389,52.74896999999999,51.54997,61.048237
,,,,,
0.11488389,2.9016893,18.200937,47.245438,47.788986,58.380543
,,,,,
-0.1341269,2.4462678,16.33671,42.117496,44.1523,55.874416
,,,,,
0.06913753,1.8877238,14.116573,37.41243,40.1216,53.264084
,,,,,
0.12076858,1.8930736,12.249767,34.28418,36.981495,49.76111
,,,,,
0.15360785,1.848109,11.398667,30.79651,35.59086,44.728394
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
-0.11419743,1.2704441999999998,7.771712299999999,21.003027,26.803617,33.63118
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
-0.038274616,0.86249477,6.1839933,16.693382,20.508781,29.27617
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
-0.041534882,0.52662235,5.620926,13.978141,17.234907,24.095015
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.044419214000000005,0.54218835,4.925025,12.123183,14.018247,19.160498
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.28595808,0.40644833,3.8866944,10.069311,11.330126,13.917238
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
-0.21467115,0.34845558,3.0743148,8.146564999999999,9.186412,10.018513
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.12486994,0.12899609,2.662285,6.940386,8.044609,8.807711
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
-0.006832026,-0.08170625599999999,2.4822798,6.277227,7.307217,7.74513
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
