flux_u,flux_g,flux_r,flux_i,flux_z,flux_Y
-0.12359695,-0.0036560432,0.007385773000000002,-0.09299925,-0.09172009,0.11251417
,,,,,
0.03745032,-0.085699745,-0.030752111,-0.20805058,-0.014346131000000003,-0.13323493
,,,,,
0.08922476,-0.117458336,-0.16943279,0.15271529999999994,0.18291973,0.006058036
,,,,,
-0.14078827,0.057570245,0.18407533,0.18313994,-0.07457605,-0.05944100400000001
,,,,,
0.04647999,0.042883046,0.039214578,0.077215664,0.27904284,0.093488045
,,,,,
-0.05915644,0.076781325,0.044280164,-0.09325986,0.14179984,0.16944055
,,,,,
0.23289876,0.20124604,0.062859446,-0.21275462,-0.20901245,-0.22907753
,,,,,
-0.056154218,0.010179898,0.025352947,0.052595347,-0.17900741,0.08090039
,,,,,
0.092021346,0.075118266,-0.09077996,-0.075615436,-0.19641425,-0.073706806
,,,,,
0.138736,0.004746476,0.07559629,-0.034871675,-0.08013973,-0.076034404
,,,,,
0.09794492,0.18137023,-0.11197949,-0.09921716,0.055694297,0.22920142
,,,,,
-0.06657363,0.23095082,0.09010953,0.08559810000000001,-0.24799283,-0.16296846
,,,,,
0.28352275,-0.16342671,-0.1152504,0.30847126,-0.06949119,-0.060535047
,,,,,
-0.12036408,0.14345749,-0.30233455,0.21828629,0.20001048,0.009955066
,,,,,
0.12890853,-0.13012308,-0.023047484,-0.19514453,-0.16265355,0.038397733
,,,,,
-0.053489033,-0.25716636,-0.046734,0.057416175,-0.041750964,-0.001988305
,,,,,
-0.09835208,-0.024547817000000003,-0.19722618,-0.117553495,-0.09540355,0.10949084
,,,,,
-0.08013899599999999,0.19513932,0.25906932,0.07398383,-0.04634947,0.1035056
,,,,,
-0.14912672,0.29612717,-0.24452999,-0.059795745,-0.11257989,0.114777684
,,,,,
0.0035113876,-0.10557775,0.03585419,0.03610841,0.03209232,0.081396185
,,,,,
-0.021307016,0.056423306,0.16302314,-0.17127815,-0.057853017,0.21956137
,,,,,
105.46776,87.85871999999998,67.7533,53.25704200000001,43.15079,36.935295
,,,,,
201.57292,172.0454,134.68346,107.15125,88.07093,75.2824
,,,,,
316.09375,275.11005,217.62657,174.97576999999995,145.21677,124.45619
,,,,,
432.87296,384.4652,310.6734600000001,250.94556,209.62389,179.44627
,,,,,
460.55963,432.63162,361.65063,298.5968299999999,252.20555,219.67264
,,,,,
371.8753,382.59277,342.92816,295.3321,255.47632,225.05988
,,,,,
268.59045,309.866,303.88605,272.27167000000003,242.59776,217.84137
,,,,,
182.48386,240.34712,257.84567000000004,243.74861,225.15564,205.59827
,,,,,
116.86111499999998,178.03557,212.60657,213.75691,203.00943,191.4804
,,,,,
73.72398000000003,131.36133,173.00693,184.91753,183.41629,175.89027
,,,,,
49.731045,100.59903,144.87259,163.90599,166.16554,162.99855
,,,,,
35.049040000000005,79.31328,124.192505,147.3713,155.18,155.16484
,,,,,
25.952503,65.5869,110.245735,137.20169,147.36362,150.77512
,,,,,
20.560549,56.720287,102.622505,131.84358,144.53682,148.96143
,,,,,
17.32227,51.5134,96.91636,127.61432,143.13731,150.11288000000005
,,,,,
13.570876,43.849735,87.75428000000002,121.04266,138.16246,146.29578
,,,,,
12.752969,42.90813,88.00565999999998,123.773705,143.48988,153.69447
,,,,,
12.356441,42.601593,89.21256,126.83988,148.38159,160.31013000000004
,,,,,
11.582421,42.137276,91.13113,130.67656000000002,155.07974,168.01717
,,,,,
11.11388,41.381123,91.77461,133.9351,159.96135,175.00296
,,,,,
10.468383,40.985855,92.48989,137.1365,164.8473,181.29561
,,,,,
10.127298,39.85162,92.61943,139.93355,170.18271,186.71509
,,,,,
9.6363535,39.298706,93.055786,141.07675,172.92555,193.35365
,,,,,
8.623549,37.979477,93.34898,143.2348,176.80223,197.15004
,,,,,
8.467225,36.642864,92.688446,145.326,180.20631,202.70825
,,,,,
7.6375046000000015,36.04982,91.076485,145.29565,183.11877,206.46585
,,,,,
7.003747,34.916733,90.86666,146.3654,185.47116,210.32599
,,,,,
6.814189999999999,33.552914,89.468704,146.59985,187.90518,213.973
,,,,,
6.6268134000000005,33.16924,88.799515,146.88433999999995,189.65256,216.99005
,,,,,
6.3215675000000005,31.228401,87.263214,146.61218,191.1674,220.45825
,,,,,
5.467645,30.551672,86.16084000000002,146.73761000000005,192.26192,223.01318
,,,,,
5.2740589999999985,29.632496000000003,84.27840400000002,145.99283,193.65233,225.25537000000003
,,,,,
4.8068113,28.321812,83.24514,144.63423,192.99638,226.64072
,,,,,
4.4107127,27.112606,81.809166,144.36435,193.60048,229.50829
,,,,,
4.4108434,26.03117,80.55758,144.30478,194.65132,229.94466
,,,,,
3.7873597,25.217781,78.75966,143.26023999999995,193.85588,231.77048
,,,,,
3.8419893,23.902782,76.644936,141.1019,194.38872,232.70143
,,,,,
3.395474,22.770555,75.158585,140.02121,193.465,233.10565
,,,,,
2.953066,22.232914,72.72653000000003,137.87909,192.31583,234.54008
,,,,,
3.0464983,21.278286,71.03399,137.0951,191.70056,234.41577
,,,,,
2.5539427000000003,20.371906,69.75780999999999,134.78297,192.0401,234.86287
,,,,,
2.6791449000000003,19.364857,67.91029,134.10838,190.959,234.70924
,,,,,
2.529834,18.655903,66.79395,131.4772,189.09494,234.9006
,,,,,
2.1916978,17.655369,64.58577,130.16728,188.39935,234.31631
,,,,,
1.9964818,16.723689999999998,63.05899,127.61918,187.22534,233.73672
,,,,,
1.7072755000000002,16.464447,61.78775,126.07932,185.05354,233.75166
,,,,,
1.9417866,15.783371,59.62167,123.955185,184.13123,232.96628
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
1.2470370000000002,12.449018,52.41633,114.31232,175.11703,227.71568
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.8775304,9.667195,44.98844,104.3347,166.07455,220.5343
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
